7 1.50489
1.56465e+06 1.55946e+06 1.67353e+06
1.59599e+06 1.57446e+06 1.56795e+06
1.60122e+06 1.59832e+06 1.56554e+06
1.61018e+06 1.60499e+06 1.56077e+06
1.61185e+06 1.55391e+06 1.57898e+06
1.62451e+06 1.57235e+06 1.55793e+06
1.57003e+06 1.63677e+06 1.5848e+06
1.60652e+06 1.60027e+06 1.5644e+06
1.57935e+06 1.55606e+06 1.59067e+06
1.60948e+06 1.52545e+06 1.61308e+06
1.61729e+06 1.56834e+06 1.57144e+06
1.58445e+06 1.54359e+06 1.61034e+06
1.5849e+06 1.61256e+06 1.56337e+06
1.59584e+06 1.54587e+06 1.5946e+06
1.6156e+06 1.58828e+06 1.56521e+06
1.55988e+06 1.55983e+06 1.59708e+06
1.57798e+06 1.53878e+06 1.63806e+06
1.59323e+06 1.54243e+06 1.62858e+06
1.59392e+06 1.5493e+06 1.60659e+06
1.59722e+06 1.56618e+06 1.58292e+06
1.60397e+06 1.52644e+06 1.62933e+06
1.6429e+06 1.52882e+06 1.61036e+06
1.55664e+06 1.59168e+06 1.58673e+06
1.57792e+06 1.63779e+06 1.57635e+06
1.58259e+06 1.57285e+06 1.58406e+06
1.6079e+06 1.56061e+06 1.57624e+06
1.61646e+06 1.52052e+06 1.62485e+06
1.62532e+06 1.54932e+06 1.54446e+06
1.55765e+06 1.56548e+06 1.58918e+06
1.57423e+06 1.62146e+06 1.5829e+06
1.58439e+06 1.58218e+06 1.56789e+06
1.59487e+06 1.57369e+06 1.57864e+06
1.59576e+06 1.60733e+06 1.56157e+06
1.59608e+06 1.53082e+06 1.58502e+06
1.61427e+06 1.56003e+06 1.5772e+06
