102155 417.727
116008 132557 154904
155040 105477 157685
141617 129025 115594
127031 129540 123284
144726 109815 141021
140870 113294 130934
141507 131156 113756
128420 117052 130296
137502 114107 131816
146388 111289 133691
134012 128985 115863
125030 131306 122741
149345 108067 130745
120878 140412 121906
117779 125130 125001
139497 110147 142074
138322 110954 135075
146374 111779 126051
136682 134279 111892
136989 118093 120530
126732 119205 127798
137490 113714 131930
133526 119782 120181
126140 128653 124665
117048 124248 130289
138079 111498 142920
145543 111910 127319
144561 125682 115537
151180 121553 116151
137385 118008 125848
140772 110757 135013
141553 116390 122128
139036 108661 144259
125229 114016 132667
109415 132721 141446
144153 124695 115602
135208 116903 127933
137121 116273 130727
132421 115139 132437
119950 119151 130435
138129 115376 126144
133037 128076 119338
127202 118466 125156
132633 112931 150797
141213 133112 114766
153375 116319 124520
145539 115369 130659
116708 133605 132097
128051 120613 124451
132113 115503 132556
144620 116831 119039
137596 113200 144165
116722 129212 137915
119250 117137 139443
128871 130850 114944
142862 109961 136666
161239 121329 117316
150627 113892 125238
135551 121979 117572
141922 122692 116959
128715 113790 136854
127229 129691 123076
149472 107942 142405
144726 123954 110102
130114 126924 121092
