23560 90.0987
148573 136558 154023
138087 163428 135049
134836 150370 159812
150110 142695 146424
156022 139811 138501
155905 130023 176369
148762 168620 128777
152166 132852 154634
178213 127608 150529
148466 138059 162397
153644 130570 144690
147209 137701 168364
151399 137334 149488
130918 165680 174989
152848 139901 147532
151888 140060 145459
150523 144079 141786
134078 165113 155592
147034 138374 163012
131650 156679 162955
146503 147870 136599
142145 140668 149368
150228 139975 150319
153682 157564 130289
148961 138561 151564
140765 146169 139795
155652 140887 144191
130688 173365 173277
165036 130216 162498
165082 146093 129447
147725 140367 158016
141217 157814 138521
132439 159317 160513
137442 144236 141744
148787 143500 148976
146444 156633 136677
137340 150097 160717
146577 154079 133342
147718 146654 136153
150120 134292 152889
163528 139408 144320
140269 140531 150470
146095 168476 133614
141168 140074 164930
140584 140225 167802
162462 145628 130283
163827 115966 171640
158434 130195 164270
137268 166474 146503
136543 154997 151113
150298 149954 131899
150598 132219 154768
133949 158673 158285
149450 137646 154021
135859 165921 149887
136480 153159 151187
134533 153657 160743
138724 143208 161354
145341 160847 138286
