129 1.05979
168215 165386 137386
137833 159684 169680
144021 155487 159301
149027 161100 151443
151868 140654 159355
160415 168350 143677
168263 138641 157752
143924 155429 162665
150420 166515 148228
142816 168939 149710
140769 154126 172156
140515 166753 162946
147383 160107 156884
158288 144258 148195
165000 153209 145416
166705 151296 144278
166025 134458 175054
168071 159645 140283
146161 149820 172092
152675 153764 152140
174379 155130 142879
164330 172901 138959
176696 156661 136751
147683 159071 156410
136733 172291 171000
157440 175100 137016
146796 155863 157198
152921 161844 147384
154155 135680 169731
165820 141909 158308
147945 146524 152960
162244 148171 145756
147672 163241 148802
156743 143406 158930
144727 151293 162302
167125 142776 149291
169655 161221 135560
145611 168300 155952
160690 157296 141509
142228 157739 169608
176013 157830 131099
168920 136974 158623
169655 133616 162432
143332 158700 165623
146833 152693 159992
135788 154819 171686
169275 159071 141042
171048 132130 160811
142436 155440 167350
174290 140588 149052
159531 140644 167290
140861 160971 168155
166472 147816 147575
141806 160575 162782
149963 143380 173392
169819 147431 144477
141090 160139 163387
169939 136306 159957
151227 173125 146300
157645 166087 146941
157333 174611 143173
166397 135692 165599
138213 169879 167142
176549 154735 143889
152907 151550 150695
138920 166206 169445
179902 153977 142092
158235 157296 147839
156633 145744 150135
