813 6.84849
120082 111954 94957
116940 130008 90936
88225 117190 111539
111196 131269 91075
99908 102898 104901
95330 102913 103842
113209 119329 93390
110205 105217 97615
93896 104147 106078
97653 105907 100842
101431 100907 102698
110760 116269 93734
104157 115490 95311
91948 108476 99053
95534 108416 97801
95883 108060 99508
93230 117108 94901
108115 114664 94173
100367 101952 99270
100508 99631 103118
107266 112465 94961
100000 103077 98224
92293 109438 96350
102722 131450 91768
90255 114154 105484
104786 122172 93802
