12966 170.974
83330 74872 85397
71843 78996 74142
71359 81835 73925
75393 81954 71301
71947 78404 74205
71914 78889 74097
72577 77922 74180
71916 79116 73970
71558 78908 74230
71801 80026 73830
70062 80313 77244
71430 79172 74509
71616 78838 74262
71785 79066 74110
71749 79126 74071
71522 78968 74191
71690 79486 74112
70625 80552 75334
71966 78646 74068
71535 78896 75094
71488 79102 74541
69643 82176 77554
71463 79328 74232
72945 84120 71579
72593 79419 72890
70789 80228 75094
72204 78301 74098
72223 78543 73961
71835 79883 73791
71967 80461 73673
71491 79680 73956
70451 79352 76507
71725 78414 74726
70872 80560 74883
72386 76545 80648
71541 78907 74977
71724 78144 75401
72049 78673 73579
71898 79137 73912
77094 81708 70821
76050 80838 71003
71706 80060 73804
73134 84103 71748
71451 80650 73920
73408 77845 73800
70142 79646 76859
71819 78668 74484
72418 78020 74335
73055 78359 73502
71257 79271 74830
71270 79751 74739
70024 84040 75697
71977 78143 74218
73310 77827 73942
71868 79398 73899
71599 78837 75009
71479 79902 73924
73063 79254 72698
72010 79280 73143
71917 79379 73775
72535 77677 74511
71849 78407 74497
71996 78385 74081
71241 80253 74189
71716 81748 72273
72008 80381 73676
72393 79976 72052
70596 78407 76175
71808 77877 75011
72607 77661 74193
72518 76665 75848
71424 81375 73930
72725 76883 74224
71819 77374 75161
73253 78662 72938
71789 77635 75148
70476 78314 76976
71946 78855 73983
70612 82880 74216
70446 78575 76963
71655 77623 77528
73801 76670 74055
71847 81798 72133
72310 79558 72851
71908 80825 72381
71868 78649 74360
71140 80625 74591
74251 75503 80025
71746 78064 75756
70578 81073 74720
73283 78401 72951
71754 77883 75414
71660 79488 74177
71043 79593 74859
70626 78146 76188
70981 79305 75202
70415 82305 75309
73247 77346 74223
71780 81089 72660
97988 73932 92978
72554 77919 74374
71635 77720 77355
73272 78904 72801
72371 78585 73099
73474 77826 73705
71413 79131 74883
69730 81205 78986
73075 79227 72402
71866 77247 75592
72051 77244 75355
73232 76129 75789
71560 81224 73912
71500 81929 73628
72479 77925 74472
70374 79880 75856
71626 78147 75693
73252 79113 72716
74305 77684 73335
73076 76199 76141
71883 77248 74845
73786 76820 74756
68423 83611 82299
71702 79529 73980
72600 77754 74004
70590 78585 76378
72636 77230 75620
73531 78321 72572
73249 76130 75042
73848 78692 72283
74470 77475 73738
70513 79163 76776
72963 77642 74060
74483 75272 76034
73841 77935 73244
70393 80122 75719
74622 82210 70925
71183 83274 73587
74063 78011 72110
71127 80984 74286
70794 78142 76698
72110 81687 72080
68008 115145 100637
71456 79731 74410
73219 76391 75029
72379 79780 72726
67454 116336 100496
71487 79019 74645
70136 80951 75670
69810 81786 76672
70592 78169 77082
68341 112411 102754
71492 82261 73730
71469 85751 73051
73303 77920 73753
71581 80482 73871
72315 78276 73670
70686 81107 74169
71612 77851 76470
76455 75987 74659
73059 76198 76888
70402 78359 78497
70154 79074 79518
71702 82287 73526
