31789 600.012
171084 71657 95537
164892 145248 54501
143816 57450 128777
104658 173465 63675
88960 73141 150977
69291 160970 126811
87152 74650 149904
79715 83898 147721
80828 170007 90904
105711 171785 66463
86200 168313 79641
78647 86500 146583
169638 128798 56355
169935 76275 86140
108929 169420 66257
168321 140946 55119
93595 118975 90154
83173 165297 84157
100869 71412 123452
79402 92450 134350
121457 172072 59396
107699 68694 130936
109289 74230 110466
130336 96127 68194
110770 70553 114542
89283 77241 134976
122889 103643 84719
161693 143776 54656
138887 58476 115380
122008 136172 72331
85080 79838 130310
106145 113106 80690
161173 141660 55516
95077 155257 72675
149822 124333 58059
120601 62976 103537
79864 84154 145569
118998 62065 110930
103041 112868 83691
104083 165725 67445
135042 113959 62697
127897 59582 113331
96711 154243 68677
69564 155798 112848
158250 139201 55819
86554 113682 95944
113363 77329 108321
90675 148741 76511
124918 100265 69925
157352 131458 56396
77534 90618 138624
113126 108193 78952
105171 71137 115751
129165 105434 65119
140419 57676 120738
154368 119967 58218
97545 147456 69428
81167 150026 95301
143004 86761 82347
94743 150953 76247
125607 96654 74707
81979 149639 91711
85095 153648 85535
96372 163937 69667
139673 119610 59706
137317 58713 115076
70233 153431 116945
123648 108695 74933
119449 62733 107594
103332 70968 119172
102136 167232 67088
69437 162543 121599
70666 149141 111508
71121 146770 125251
120823 66942 98673
136458 114582 61314
138429 59003 113843
74256 140000 102930
90441 76798 122475
128887 99125 66671
71552 145397 113676
76631 135063 99400
112064 68301 124722
120076 116101 77553
100010 167569 67884
86768 166491 77170
78130 86832 142137
145459 120291 58903
117303 63637 105499
125126 60551 111210
87935 78063 140307
97390 151280 72977
84041 152856 87938
160410 146203 54983
105917 70179 117123
133738 103270 63006
77620 88390 145215
126283 102677 68599
74308 133561 106341
92463 137629 81243
85377 128266 92877
141232 57607 127765
140760 120879 59471
92138 109736 94683
79145 87424 139030
84063 82699 131333
128184 107900 65386
76421 138077 100535
133148 101713 64128
76122 147927 100864
100200 136573 81836
93944 163224 71262
82657 82575 132188
129874 99918 66013
106407 162017 67139
110359 108879 89072
151656 121265 58569
118521 66599 99194
115108 66091 101591
79969 94206 129152
146227 115600 60348
91505 93910 117419
167363 140844 55129
109920 109222 88639
85960 150236 81441
113721 73062 105990
142497 109879 62181
93164 122169 92284
89852 149245 82556
124129 101445 70113
146299 109041 62437
73065 137827 107115
70978 147149 112938
128415 97004 70711
143622 84927 87055
99323 81179 113920
76794 90395 139323
140819 126430 59094
134166 97715 65587
126800 60125 106951
89557 154510 80329
166543 143274 54506
155926 127972 56781
108359 117218 79295
82147 80636 133988
78393 88779 140722
163524 133305 55644
132374 102031 64913
116836 123048 77788
89961 154136 79524
85771 114165 97065
92998 157115 71448
129853 98444 66538
106715 74163 112706
84531 159572 85208
135405 59146 120929
143961 85558 83093
107856 69361 120965
109815 67306 126398
76218 95082 135526
113817 68002 123802
165288 129130 56382
154907 136412 55984
79664 95510 129573
116864 107716 78016
104392 69959 124546
143323 116784 60603
168003 129757 56198
89389 156238 80458
94727 105829 90997
107433 130176 78709
78377 93342 136693
82752 148228 91263
156354 144309 55307
107173 75460 111872
142135 115206 61205
159007 122605 57288
101571 78919 114809
134218 101241 64362
121714 61333 118335
117936 107214 81468
86765 160431 79189
69973 152533 117898
117611 102329 95542
75444 135762 101819
101131 80053 117557
164470 143104 54615
98731 157552 67906
106526 134276 78719
148153 110163 61790
78827 85905 142636
71701 145338 109898
70266 151656 121944
137958 110892 62972
91089 140568 83514
115677 65093 102769
78574 92757 133412
116381 64603 100208
124665 61038 106480
162200 130644 56315
95247 154742 71020
145838 111987 61638
125812 93523 71889
85408 118110 93188
77768 87649 144503
102754 72852 120163
95536 139440 79737
101375 73608 118181
72648 143298 104568
92703 163543 71780
72818 141210 109492
131901 106604 63354
91279 109338 96743
70583 152184 121292
77651 88043 144154
88659 157986 76099
93387 156443 73328
163077 127359 56449
146797 112162 61091
75265 130814 108589
75725 135949 100963
162628 132257 55747
86161 111094 98220
