319 118.292
3.00681e+06 3.04682e+06 3.0863e+06
3.034e+06 2.9898e+06 3.07841e+06
3.12114e+06 2.91632e+06 3.17823e+06
3.13906e+06 2.92505e+06 3.09708e+06
3.02267e+06 3.00741e+06 3.12972e+06
3.08759e+06 2.94751e+06 3.16538e+06
3.03071e+06 2.9912e+06 3.091e+06
3.07829e+06 2.95081e+06 3.16064e+06
3.08465e+06 2.95988e+06 3.15013e+06
3.04872e+06 2.98205e+06 3.0815e+06
3.19595e+06 3.07365e+06 2.91558e+06
3.13027e+06 2.92397e+06 3.13068e+06
3.00006e+06 3.12837e+06 2.98983e+06
2.96503e+06 3.07991e+06 3.1141e+06
3.11404e+06 2.93041e+06 3.1381e+06
2.92429e+06 3.14589e+06 3.06253e+06
3.11475e+06 3.11187e+06 2.90332e+06
3.14655e+06 2.90222e+06 3.10612e+06
3.17354e+06 3.0131e+06 2.95255e+06
3.009e+06 3.01412e+06 3.07118e+06
3.13831e+06 3.06343e+06 2.92701e+06
2.99578e+06 3.14679e+06 2.99412e+06
3.08058e+06 3.11112e+06 2.93304e+06
3.09646e+06 3.15208e+06 2.91388e+06
3.10443e+06 2.92407e+06 3.14319e+06
3.0026e+06 3.13798e+06 2.97126e+06
3.07819e+06 3.11888e+06 2.93231e+06
3.10133e+06 2.99798e+06 2.9917e+06
2.98605e+06 3.1139e+06 3.0137e+06
2.99853e+06 3.09716e+06 3.01203e+06
3.12909e+06 2.92773e+06 3.12758e+06
3.0242e+06 3.00306e+06 3.12182e+06
3.14323e+06 2.91504e+06 3.10025e+06
3.01533e+06 3.0135e+06 3.12499e+06
3.04637e+06 2.97271e+06 3.08514e+06
2.91852e+06 3.10584e+06 3.10576e+06
3.09556e+06 2.97501e+06 2.99574e+06
3.09993e+06 2.93757e+06 3.14484e+06
3.13552e+06 2.90218e+06 3.10652e+06
3.05216e+06 3.0526e+06 2.95918e+06
3.15968e+06 2.89714e+06 3.09428e+06
3.00262e+06 3.0882e+06 3.0275e+06
2.97868e+06 3.0566e+06 3.07301e+06
3.08797e+06 3.11527e+06 2.9221e+06
3.11243e+06 3.10918e+06 2.90715e+06
3.07379e+06 3.02686e+06 2.97011e+06
3.11149e+06 2.94487e+06 3.1308e+06
3.12924e+06 3.13821e+06 2.8979e+06
2.9755e+06 3.04336e+06 3.13846e+06
3.0529e+06 2.96261e+06 3.11454e+06
3.07581e+06 3.02455e+06 2.95305e+06
3.11814e+06 2.93825e+06 3.11947e+06
3.10491e+06 2.98034e+06 2.99242e+06
3.12104e+06 2.93152e+06 3.13349e+06
3.12246e+06 2.91629e+06 3.17588e+06
2.89356e+06 3.16247e+06 3.05512e+06
2.91492e+06 3.15616e+06 3.0654e+06
2.97277e+06 3.05539e+06 3.08642e+06
2.96726e+06 3.05069e+06 3.13024e+06
3.17025e+06 2.90002e+06 3.09275e+06
2.99506e+06 3.03845e+06 3.09015e+06
3.0097e+06 3.05252e+06 2.97756e+06
3.05101e+06 2.98062e+06 3.08022e+06
2.98491e+06 3.17647e+06 3.00017e+06
2.98846e+06 3.01654e+06 3.13205e+06
3.13976e+06 3.09204e+06 2.89186e+06
3.15176e+06 2.91361e+06 3.09816e+06
2.9807e+06 3.15616e+06 3.00914e+06
3.01916e+06 3.02459e+06 3.05934e+06
3.09706e+06 2.9164e+06 3.15302e+06
3.20006e+06 3.00538e+06 2.96081e+06
3.12303e+06 3.06804e+06 2.93559e+06
3.04074e+06 2.98461e+06 3.12169e+06
3.10086e+06 3.00108e+06 2.97309e+06
