54 13.7284
3.18388e+06 3.15462e+06 3.17263e+06
3.1196e+06 3.22184e+06 3.23766e+06
3.26344e+06 3.11224e+06 3.22854e+06
3.1775e+06 3.23571e+06 3.10315e+06
3.18034e+06 3.20072e+06 3.1588e+06
3.14723e+06 3.23419e+06 3.17402e+06
3.16996e+06 3.16766e+06 3.18785e+06
3.11145e+06 3.22976e+06 3.21755e+06
3.17709e+06 3.12605e+06 3.21181e+06
3.18712e+06 3.14298e+06 3.16496e+06
3.20369e+06 3.13695e+06 3.2038e+06
3.14161e+06 3.24737e+06 3.17553e+06
3.34616e+06 3.22929e+06 3.09671e+06
3.19166e+06 3.1755e+06 3.14951e+06
3.22727e+06 3.22884e+06 3.11023e+06
3.29034e+06 3.23312e+06 3.09488e+06
3.21692e+06 3.12538e+06 3.25016e+06
3.17509e+06 3.18169e+06 3.18086e+06
3.11141e+06 3.25031e+06 3.17955e+06
3.19017e+06 3.22723e+06 3.12338e+06
3.22277e+06 3.12434e+06 3.1692e+06
3.19277e+06 3.1491e+06 3.1292e+06
3.23023e+06 3.11708e+06 3.21567e+06
3.15103e+06 3.15603e+06 3.25987e+06
3.13903e+06 3.24722e+06 3.19596e+06
3.14794e+06 3.19087e+06 3.16432e+06
3.19234e+06 3.14642e+06 3.13841e+06
3.26138e+06 3.1852e+06 3.10791e+06
3.27932e+06 3.22985e+06 3.10183e+06
3.14037e+06 3.22762e+06 3.18328e+06
3.1413e+06 3.17599e+06 3.22928e+06
3.18314e+06 3.18928e+06 3.14254e+06
3.13434e+06 3.20624e+06 3.20628e+06
3.13957e+06 3.19226e+06 3.20336e+06
3.25697e+06 3.15369e+06 3.12888e+06
3.13998e+06 3.21688e+06 3.19944e+06
3.17988e+06 3.17958e+06 3.18631e+06
3.1208e+06 3.21083e+06 3.21668e+06
3.15727e+06 3.22622e+06 3.14913e+06
3.11347e+06 3.22004e+06 3.27522e+06
3.12963e+06 3.18908e+06 3.22779e+06
3.15716e+06 3.19e+06 3.18922e+06
3.22311e+06 3.21172e+06 3.12025e+06
3.10527e+06 3.23409e+06 3.21223e+06
3.14791e+06 3.20196e+06 3.18561e+06
3.15676e+06 3.1391e+06 3.18982e+06
3.16441e+06 3.25217e+06 3.11392e+06
3.11843e+06 3.25488e+06 3.11949e+06
