5868 900.081
3.10664e+06 2.97546e+06 3.08609e+06
3.13629e+06 3.14121e+06 2.96066e+06
3.02308e+06 3.05925e+06 3.01787e+06
3.03814e+06 3.01969e+06 3.05601e+06
3.06853e+06 3.08674e+06 2.9727e+06
3.00187e+06 3.143e+06 3.02297e+06
3.03802e+06 3.03084e+06 3.01289e+06
3.13212e+06 3.03008e+06 2.99588e+06
3.00828e+06 3.0671e+06 3.0299e+06
3.0758e+06 3.07441e+06 2.98221e+06
3.08096e+06 2.9921e+06 3.02963e+06
3.07362e+06 3.12111e+06 2.96913e+06
3.09168e+06 3.08578e+06 2.97358e+06
2.98601e+06 3.09762e+06 3.09272e+06
3.02029e+06 3.00076e+06 3.08158e+06
3.00292e+06 3.10062e+06 3.03449e+06
3.05164e+06 3.10298e+06 2.98935e+06
3.00519e+06 3.08101e+06 3.0508e+06
3.03804e+06 3.02624e+06 3.04927e+06
3.04407e+06 2.99354e+06 3.078e+06
3.02091e+06 3.01784e+06 3.06062e+06
3.04506e+06 2.97291e+06 3.09808e+06
3.04552e+06 3.01881e+06 3.0416e+06
3.00956e+06 3.05631e+06 3.04319e+06
3.08358e+06 2.99031e+06 3.09203e+06
3.04688e+06 3.01398e+06 3.06613e+06
3.01091e+06 3.02412e+06 3.08386e+06
3.00193e+06 3.02799e+06 3.06722e+06
2.99419e+06 3.09382e+06 3.05642e+06
3.02139e+06 3.05711e+06 3.02536e+06
3.09324e+06 3.05831e+06 2.97275e+06
3.06901e+06 3.10805e+06 2.97264e+06
3.07946e+06 2.99283e+06 3.09462e+06
3.07736e+06 2.97239e+06 3.12864e+06
3.01659e+06 3.05364e+06 3.03131e+06
3.00534e+06 3.04501e+06 3.05653e+06
3.03894e+06 3.02529e+06 3.02617e+06
3.09571e+06 3.03077e+06 2.99997e+06
2.99999e+06 3.04663e+06 3.09148e+06
3.03642e+06 3.06068e+06 3.00095e+06
2.98085e+06 3.14634e+06 3.06005e+06
3.0725e+06 3.07182e+06 2.99355e+06
3.07036e+06 3.06785e+06 2.99383e+06
3.03167e+06 3.15043e+06 2.97652e+06
3.00066e+06 3.05152e+06 3.07565e+06
3.05267e+06 3.01719e+06 3.04413e+06
3.03757e+06 3.02753e+06 3.0536e+06
3.05652e+06 3.1614e+06 2.9762e+06
2.98237e+06 3.10582e+06 3.08564e+06
3.0504e+06 3.01282e+06 3.05662e+06
3.00572e+06 3.09695e+06 3.01434e+06
3.07319e+06 3.06584e+06 2.98384e+06
3.04271e+06 3.00386e+06 3.07374e+06
2.99628e+06 3.09735e+06 3.05532e+06
2.99204e+06 3.05305e+06 3.05699e+06
3.05915e+06 3.09675e+06 2.98136e+06
3.00382e+06 3.0964e+06 3.04857e+06
2.96945e+06 3.109e+06 3.06245e+06
3.0791e+06 3.0186e+06 3.01934e+06
3.12233e+06 3.01732e+06 3.01626e+06
3.03336e+06 3.07903e+06 3.0066e+06
3.03407e+06 3.0526e+06 3.00112e+06
3.0157e+06 3.01726e+06 3.13522e+06
3.0469e+06 3.01596e+06 3.06225e+06
3.11833e+06 2.99701e+06 3.01845e+06
3.01371e+06 3.04404e+06 3.03633e+06
2.98871e+06 3.03836e+06 3.11515e+06
3.12464e+06 3.0265e+06 3.00659e+06
3.04667e+06 3.01391e+06 3.06653e+06
3.0531e+06 3.01083e+06 3.02918e+06
3.01712e+06 3.01879e+06 3.09008e+06
3.07042e+06 3.03381e+06 2.9971e+06
3.09807e+06 3.0551e+06 2.98871e+06
3.12123e+06 3.10096e+06 2.96854e+06
3.13984e+06 3.04182e+06 2.99326e+06
3.07819e+06 3.08647e+06 2.97891e+06
2.98948e+06 3.0719e+06 3.0713e+06
2.99196e+06 3.1013e+06 3.04638e+06
3.03926e+06 3.07488e+06 2.99972e+06
3.05564e+06 3.04673e+06 3.00438e+06
3.07297e+06 3.06012e+06 2.98937e+06
3.02229e+06 2.99757e+06 3.10631e+06
3.05739e+06 3.02512e+06 3.02694e+06
3.10516e+06 3.02682e+06 3.0011e+06
3.0251e+06 3.06966e+06 3.00941e+06
3.03439e+06 3.03014e+06 3.02166e+06
3.01336e+06 3.02944e+06 3.04819e+06
2.99032e+06 3.10073e+06 3.04922e+06
3.1379e+06 3.08641e+06 2.96845e+06
3.07163e+06 3.08078e+06 2.98681e+06
3.13589e+06 3.09013e+06 2.96548e+06
3.04216e+06 3.02364e+06 3.03579e+06
2.98946e+06 3.10174e+06 3.08135e+06
3.05457e+06 2.99683e+06 3.05624e+06
2.96454e+06 3.04191e+06 3.10217e+06
2.98978e+06 3.15103e+06 3.02213e+06
3.06533e+06 3.00471e+06 3.02233e+06
3.07156e+06 3.02237e+06 3.00686e+06
3.0825e+06 3.05564e+06 2.993e+06
3.0688e+06 3.07546e+06 2.99771e+06
3.10742e+06 2.98943e+06 3.03851e+06
3.03631e+06 3.07798e+06 2.99721e+06
2.9909e+06 3.10835e+06 3.03223e+06
3.13322e+06 3.04533e+06 2.98588e+06
2.99108e+06 3.07101e+06 3.062e+06
3.05451e+06 3.00835e+06 3.07058e+06
3.03156e+06 3.01427e+06 3.06365e+06
2.98699e+06 3.12392e+06 3.04522e+06
3.0042e+06 3.09808e+06 3.01846e+06
3.02725e+06 2.9875e+06 3.12347e+06
3.09306e+06 2.97904e+06 3.04626e+06
3.00774e+06 3.08972e+06 2.9931e+06
