12 0.386573
310525 317702 286221
321404 293977 316445
333747 320650 275849
319837 290142 322933
320745 302265 299664
322469 284087 306484
327012 301699 288342
348745 330442 270646
295588 317513 328040
300403 313532 290992
302938 315883 290479
326539 283903 305924
332657 322310 280148
313122 318651 284062
314960 322816 274165
324029 287898 291979
330306 337159 274097
306240 309754 300362
312845 304188 294308
318793 292196 340932
333957 299020 287748
337524 323576 274120
338082 296536 284685
294788 330034 308418
325832 312879 280293
312902 309588 290483
315806 299975 308066
321958 290939 305343
327331 279047 324253
336552 281263 294508
336733 280402 316146
295599 296969 314932
297359 327145 289470
305886 307927 312496
310341 300843 304596
319316 292819 319294
320695 321764 283476
321367 299972 312907
341289 309638 273996
