81 1.87715
297163 335652 325739
332265 308137 294767
344745 331946 278074
312275 316558 305986
301603 333644 316654
310552 307696 327367
330486 310754 290575
308575 345068 297662
311666 311201 311739
327000 286863 303500
350291 305768 290060
318377 312205 308685
325780 306995 302690
307168 318361 311719
316789 312371 306078
310997 311595 324451
340678 305708 294170
328406 311259 291819
299500 344292 303091
301346 317887 323874
305713 321734 309705
307326 316284 342294
337152 314790 290252
314567 317863 302988
316442 327170 280267
318029 299596 313609
331311 308259 294262
301178 334690 315392
324727 302848 306861
303426 320239 320909
318670 301394 307004
324997 300021 303779
324355 314623 293126
311128 312012 320720
308523 309367 324559
308848 313474 306982
312039 319655 303782
297954 344588 322829
303107 332017 302197
329639 324595 286333
317337 320625 286533
305536 330177 299278
308558 315906 323906
314332 337670 289449
330136 307281 297606
340736 339468 279522
332149 305426 301897
320856 308385 304833
327242 305775 302682
335540 302102 296881
313088 323310 301631
322787 310512 299310
347044 306330 285489
303259 322567 301928
312252 327484 292453
313226 304340 313769
343024 312721 284385
302552 325263 317463
318667 319353 289681
325109 292637 317311
336527 297123 294291
305557 345463 293249
314019 315077 303993
318618 306921 310519
325363 310050 292893
310261 313336 321175
318431 308190 310419
342698 318898 289297
309857 301832 328941
300204 328867 329470
307696 317879 308223
332193 305113 300526
307802 317352 328014
343134 309273 285553
317433 315045 300342
299913 336160 315879
342029 319148 289615
304207 324317 300093
315420 315081 293204
317789 294952 330968
329555 286453 332498
313413 318885 301441
327879 309824 301931
309700 325046 293672
322025 313197 301853
311094 290289 334578
314610 319872 289624
322496 312460 297982
353551 282282 325450
