10320 375.585
589871 490566 513622
595196 494513 493488
570761 516469 499609
613326 481351 492967
561360 528287 500677
582156 504465 480925
568578 521498 494550
589318 501596 487907
591991 495626 483183
567587 505454 508438
570745 500619 516765
573765 501590 499875
590295 489249 524632
609190 485970 490057
610631 483601 490823
593833 498211 481802
572159 501780 504156
600417 486245 491693
571107 516684 495845
593119 486729 498546
608149 477361 496625
576786 495260 500564
570832 505265 509508
597432 484508 501690
607977 479561 518861
612018 473626 500701
579997 493209 494240
591868 496627 490535
581712 502627 484111
595549 493744 489841
589848 500936 486493
592154 491957 502354
596031 488955 481848
573435 504375 486571
551041 520863 515005
565712 508435 511153
598745 488313 496282
555534 521294 510725
568559 503658 518010
571162 515472 498235
579013 497071 499697
587945 501114 492281
599227 483066 493327
599418 488398 487736
599758 482055 505511
555240 532010 502685
569254 506949 506470
594655 489555 495380
572177 533490 480726
594960 484430 501725
588821 489338 516355
594182 495039 485938
557637 550353 497676
588816 491430 504241
576984 493454 500230
564976 523549 494232
563815 519607 495533
557142 513529 503822
578253 536698 478939
604025 486309 489931
562686 534105 482241
570669 538037 478719
570170 508504 501200
567102 519301 497835
553003 528615 509459
571136 525828 489731
587240 519363 468793
597159 483399 519649
556753 515881 511352
572801 528930 484310
571400 505853 484994
568744 523949 490177
575472 504016 498662
559622 530300 486335
568402 546179 480883
562743 523786 495120
581239 534006 453257
574331 544022 477685
556947 525711 508707
562014 515685 501008
571307 512283 494705
576118 529140 479869
616878 581926 431718
555868 518527 508957
576956 523391 483727
677462 513922 433515
634751 548452 421603
627853 554160 425937
623692 567363 424337
629694 550618 428753
637425 536834 427174
587110 516611 468879
629581 553748 426248
633929 538177 426253
648869 562271 417933
616249 553094 432206
631406 551140 421252
638009 530099 421550
666253 529627 425513
624900 552883 429293
651374 523547 427389
611187 523842 444309
650633 503755 446169
635957 502077 450857
636847 510049 437431
646021 496661 451030
627639 503033 451151
588482 517590 467556
609905 513845 444426
599998 507661 459184
633921 504378 450254
617824 507090 447111
639350 504825 446459
594233 518082 445254
616082 511798 447389
601630 516004 444365
612446 508831 451886
611706 518181 437003
589430 528442 457785
580626 549952 453331
590606 544598 449614
596399 537410 440259
611581 525310 438573
611347 533515 438907
620137 517983 439611
618339 519972 436721
636380 510941 433959
636620 502076 449835
607026 525042 443996
622480 540670 429298
645470 499948 446979
629136 524398 430224
626197 513604 438138
642615 503828 449741
645204 504869 445193
659366 502868 446757
602595 530405 439967
617236 532604 431730
616385 512988 446097
625318 504751 446985
620889 505170 439183
622106 514946 437043
625060 503488 450847
629568 510777 439076
603334 513549 446445
611740 513100 449207
609155 530135 442812
613674 525342 434794
622582 516997 433785
609555 526874 442128
617294 508940 445950
598176 514954 452792
591128 520530 464692
593388 505369 463384
613904 512052 447765
583962 501903 474367
608258 499854 453909
581780 534025 451366
593740 510482 463068
587586 520675 466688
597693 513201 461922
605060 511321 451778
644122 473711 484546
590029 500286 468097
605574 502185 452363
589314 527433 459189
624720 485083 464359
601961 497066 463155
589341 531665 457922
601282 487401 471400
626809 494864 451807
602751 508462 457406
599308 505364 459444
605618 500904 458386
595053 517554 455620
589203 531934 459803
624110 503878 450579
578436 508410 470207
613679 489765 466375
607675 494906 462664
599187 508911 454650
595098 517345 454655
603646 494727 470897
589002 513762 465381
591690 514836 458024
597447 493495 481475
601422 503079 463406
599321 489150 474071
583454 526482 461084
613900 476124 469969
585784 502736 469243
627798 493968 461970
589813 521809 455065
620461 520219 430563
620914 492813 462095
607829 497776 455090
597253 494104 472194
617789 495398 462439
603377 507288 459405
