14 1.30407
762667 775174 808894
780734 774808 784249
801702 745909 820531
821295 776121 754210
772490 780975 783740
784840 795572 765691
787809 773648 784423
796628 782305 764753
800699 752491 783034
801121 791116 755487
805661 768982 773729
806315 749881 785776
816064 787394 750452
821679 781465 751737
755266 779611 828538
773985 775396 792676
778609 780204 765980
783992 755769 830202
787111 756391 809793
815415 782886 755968
830854 773676 751670
841963 826190 741596
842130 765263 748787
751552 811341 781736
786391 777076 775255
788460 782861 758965
788630 748044 820924
805336 772030 766879
846256 756976 757251
782803 773977 776208
790994 769997 770447
793234 797010 746149
806896 772861 766330
812876 753180 759975
758982 782720 772090
776219 762096 793287
812762 788202 750181
807319 790230 748809
810908 765530 767197
814633 793437 742686
815764 733997 794345
817304 730468 778014
822110 773376 759819
778570 766378 792106
790132 747585 788862
792080 760242 782230
805973 753689 778942
811380 805936 743309
812600 789330 751135
757722 807582 797068
782103 769414 792035
792732 803565 756593
808029 789256 757143
808430 751476 770483
808744 743451 783881
818972 776601 754981
821617 789315 747463
840172 733243 777906
848570 787146 748496
851114 832633 737729
