3539 326.306
813055 566675 578752
748217 506900 666393
724910 709296 476843
561804 791081 599988
516546 697441 720719
500039 732941 687415
638571 659243 542902
640150 657981 545440
641449 644923 544651
563423 633585 703902
610570 688669 562424
504123 728947 686513
604857 706401 569569
696246 678660 487014
671682 679894 493390
511067 702706 695192
608671 699142 567396
550324 758461 617042
584738 607381 615698
501705 730175 684088
781824 594871 569059
728582 513990 665280
627036 718002 548854
625840 719327 551244
621655 700208 554318
616025 604490 596480
526170 687506 718514
559330 785301 602959
567311 644240 697236
631183 664359 556337
562519 637390 706361
617433 624132 580771
555529 782643 603854
518436 698225 716736
657398 632230 527273
811779 563182 579720
703443 556841 645400
709284 558391 633199
573456 779541 600437
625300 701425 553712
734642 515391 661889
520057 730845 663859
559738 789313 602858
568320 776972 600731
522746 692230 710470
643875 646447 543302
560129 630042 714911
804293 578186 577621
742111 510087 655011
515587 725296 679840
658325 643667 513229
769331 552286 618486
590190 602608 609141
718452 524356 658405
609908 712244 563364
521908 689639 713082
627880 688448 546821
692908 655276 491728
662822 642532 521484
682195 676421 487580
636730 660544 534773
597977 627634 584487
694927 683421 485682
634454 663278 534110
673858 621487 528262
646221 653098 533979
628818 680591 560540
524354 723998 671666
717379 538732 640861
576937 614544 604666
755697 520458 644653
685929 649699 496499
662007 628723 526388
571291 609697 617906
539563 755919 635018
620062 596768 600224
538805 778478 619177
575025 617399 600580
527368 693959 682764
534818 773638 633304
647890 652308 535522
739060 511710 656805
620584 619052 586070
586238 634926 589412
671127 654000 500910
738300 589365 595755
517968 727206 676308
557390 732117 652675
802164 585720 573046
554399 772270 605920
539899 721418 668438
809807 561103 581164
514876 714357 685032
729746 516568 663189
714913 703582 482813
544577 648742 711997
669997 656355 499675
797422 546302 611997
776487 572496 590601
552565 733587 637889
806675 565026 580214
592807 600824 605858
570469 787261 598797
565783 786849 598859
507904 743867 680541
785997 594821 567150
684396 591505 583169
505580 728272 683935
778707 541631 622539
653697 636264 529657
570027 610947 615512
774990 570801 590914
762705 556418 620833
626691 701623 552067
580229 610593 606713
523737 696520 707096
805143 574767 574672
737855 576020 625030
800102 567335 581783
570248 763544 607547
691833 650352 495839
683578 611991 537987
787854 591767 566033
667390 622518 543791
676374 621020 535053
793307 583519 578078
650634 656531 531328
784016 555037 610195
518744 722208 681955
789471 586656 568556
676521 674542 494779
743741 514906 650363
781074 603531 564897
677073 694803 491172
500102 729545 685628
647186 685928 517960
701825 560247 654777
681828 651657 499523
611683 711690 560094
763170 529979 634744
655098 691797 506796
633407 669339 539941
553816 638466 703001
593682 605917 601413
564295 628268 717235
618374 605939 592617
512632 714874 685582
551967 769868 608503
705159 537097 650620
760402 536432 630105
752639 542703 631591
704097 528839 670680
533563 740617 644300
548407 745179 639962
726910 521634 646573
521033 737509 649413
779574 593084 570512
558288 686846 681036
561439 641559 698803
798709 550599 591690
601134 619574 582256
632003 661268 574934
807961 544949 605271
732673 508417 662089
746779 507236 673816
531407 776184 625971
723347 705213 479488
650823 643138 541310
529744 716208 670080
700677 564740 648329
660862 644006 509813
677468 625461 522143
547175 662794 693382
725700 518681 662862
714980 709994 480376
547631 646921 689823
722333 519299 669422
690655 601831 569328
567000 747403 627115
530771 746415 638798
525727 715043 680632
556835 754146 621705
535527 767698 627865
534905 739448 642505
739788 512576 656001
663077 640040 515980
613280 599062 601607
587633 619545 589805
516995 734954 659904
614240 708456 557167
667931 636814 518528
596894 633062 585063
623490 667279 576144
644482 672611 523153
543836 781869 604424
567033 749693 616969
529306 760174 641709
670781 613587 581339
723392 588211 625670
530088 687264 708951
702309 594111 572488
789051 571176 587826
791444 570127 587967
665027 636973 520486
724255 707095 477516
790277 551454 600428
702991 649326 498513
535994 738152 643435
619613 705800 558415
541420 654870 701558
666212 637468 510873
770225 549496 617465
688956 675538 487785
674801 610289 575233
680810 626867 517125
582634 615885 602403
651996 691304 507854
682306 665890 490000
798263 553147 593091
729289 526098 644747
589574 608652 592622
626056 704163 551997
660296 645616 511665
537726 762427 632581
715779 693793 484618
510359 727853 669150
745777 566563 624711
805726 568440 575994
556551 636468 713820
706380 535169 654051
674295 617939 571766
508536 743052 683515
599351 604137 597253
563109 741248 634498
777753 545345 626866
635966 665283 530481
536865 723423 661001
655730 671396 501471
624182 682834 569752
626796 681783 564329
520397 692921 709346
727796 517300 675556
687270 630232 514696
680705 656250 492508
722206 697031 484201
622353 699878 557651
726076 526517 653828
771082 562021 610491
773101 548831 621163
587050 608768 598350
670379 645710 505184
586146 620028 589619
583149 625145 594397
544985 708688 677684
794686 549974 599782
714167 706695 482055
672664 648851 501754
509376 742470 675820
740289 582089 591943
509185 748221 680027
545381 750779 629031
615304 691162 558913
754192 576387 598974
784856 589333 567821
799348 564079 588291
573992 615316 603393
691943 600153 566753
694409 532042 667052
741937 509306 659373
578739 621821 599455
741377 533548 639578
733469 538077 639481
737009 522623 640274
766331 584394 585353
654122 630395 537341
674547 674493 497878
766736 534746 632425
678902 616514 573293
682616 666588 488773
720605 528396 653441
652713 631502 537381
620288 670160 571604
530726 690728 689112
633289 669037 550372
546220 673280 687949
743973 527516 639103
535920 766835 626486
549926 775395 614645
685268 647770 502371
558974 721699 646516
745906 583002 588606
757755 561321 623382
731436 539338 637004
560733 714135 667853
697074 650981 495256
663358 629753 524365
683621 608271 525870
731884 513035 666458
792034 547288 608231
595221 599909 611609
529795 695807 681492
719028 710594 478928
541035 761121 633830
710616 534186 657490
695258 531396 660568
760926 580519 587541
749919 562845 614806
679402 630540 519434
663874 637460 515141
515344 753131 659384
526645 694919 682082
661174 648361 502844
539009 752471 636365
644504 664801 532709
562859 716831 664483
712980 539972 637254
659585 628127 531058
629595 611768 581985
651688 640973 549755
666218 622461 546781
795101 573039 586652
712513 711015 480770
801260 560770 590229
648233 648458 538983
716371 544679 637251
784409 540520 618810
796166 554503 599586
654364 668710 513602
773445 547570 611284
532339 735242 654877
765517 581196 586963
537811 766073 631310
591811 608116 608793
547323 643297 707668
554257 637754 702487
709976 711799 481203
744806 569075 614140
667079 647401 508536
711130 528023 658090
780296 542995 616473
505459 711616 692142
572438 624557 604372
612643 589992 631332
688340 577059 652124
564985 751102 616496
521840 717524 675322
647376 671181 530445
555215 645901 700717
690524 657538 489203
796659 555399 597420
807425 578736 573976
747502 582032 594185
720576 707612 478992
615162 598196 605373
788003 588583 570127
559223 641470 699794
561363 770567 602591
759325 539230 630489
774408 577885 585142
756588 591256 586520
557510 631115 709891
645425 664749 532678
534485 688188 691511
563709 639153 699127
752992 576862 598016
748514 518049 647727
751246 564975 612480
694680 680494 486575
542146 751640 633950
697322 638077 503696
772219 568095 600292
632663 630879 579242
714146 523615 668636
532616 726456 667238
695439 583652 651396
730402 585972 628424
772586 564300 609936
514891 725895 678418
541110 775401 623853
556119 639741 700772
663531 640909 514258
719775 520951 672814
719736 709149 477818
660064 652446 506977
536869 713881 675826
540572 755086 635827
651372 668265 527079
552598 764164 613715
540620 710587 674429
649921 643614 541032
736536 537987 638487
767672 549170 625949
545245 671828 694433
600392 599335 611124
747917 508241 673203
698028 574525 646910
714836 532668 649976
598810 598374 613858
713590 558833 630897
544959 759103 620033
508131 724128 691912
690257 579713 652018
764878 553974 619629
581336 610359 606545
577788 615907 602628
735706 539237 636458
554531 718568 660785
602375 590390 608564
614779 680963 572946
553108 761948 612890
512262 736678 667154
761804 585937 587093
536644 690268 690978
548658 736428 642012
705845 562178 644788
528578 768568 642261
712006 532089 652221
543871 681658 690512
753711 562684 622268
517265 699599 694631
683842 667866 488129
714844 529569 649026
655202 648122 508816
699740 548997 656102
608674 625877 581044
751099 543831 627400
660442 629673 529699
603382 599302 599287
542506 692500 686818
690087 532980 657829
710507 706039 485156
684301 632850 516765
528486 717322 673918
702713 543543 647126
544255 674278 692809
567531 764705 611200
764758 559397 611301
645447 653617 534428
545401 737947 641406
563759 660590 688511
630329 685211 560409
526292 712817 680093
781008 604291 565674
689309 657798 491931
722986 589018 628731
776654 558813 592351
684121 645436 504096
532973 739951 648137
673395 630535 523746
591276 622023 589466
683010 616703 530632
764212 583693 586565
778577 584869 577984
686274 561032 660423
777977 591202 578700
758821 561391 622348
594787 594349 619636
801374 573560 580009
572226 626661 604501
624807 685507 558559
721560 517728 673140
511253 725858 687693
665165 633289 523397
749164 581023 587610
789640 586091 576829
739024 512890 658601
631577 697199 538824
549032 765483 618715
696822 644199 504899
667151 685080 499569
707556 552774 642165
698756 574096 656086
546598 669514 693271
567336 769089 610735
789709 590466 566099
543622 693896 678410
760276 578067 588862
539667 712524 672509
779224 547275 619090
529399 744103 647909
757894 573957 593487
542358 754641 620068
721826 523007 656419
524042 716922 684459
767351 568980 601161
704198 569037 643211
745555 542796 635575
549239 665888 687046
581147 629779 593675
542184 674043 701464
649776 669363 520035
750741 578954 603632
707586 569058 639822
678082 697401 489010
760666 535413 631583
683726 614056 518892
583634 611924 590811
680288 647770 503815
744543 509951 656597
791565 586313 570990
