9265 494.891
1.38804e+06 1.56652e+06 1.58526e+06
1.57049e+06 1.3694e+06 1.5654e+06
1.57688e+06 1.57048e+06 1.38242e+06
1.43571e+06 1.39869e+06 1.43376e+06
1.48411e+06 1.4242e+06 1.46418e+06
1.47534e+06 1.43149e+06 1.48571e+06
1.45535e+06 1.44095e+06 1.45896e+06
1.47415e+06 1.43554e+06 1.43026e+06
1.49592e+06 1.42396e+06 1.50428e+06
1.42818e+06 1.4099e+06 1.43891e+06
1.48223e+06 1.42371e+06 1.46813e+06
1.43337e+06 1.41207e+06 1.42902e+06
1.42861e+06 1.40626e+06 1.42894e+06
1.45893e+06 1.43399e+06 1.45853e+06
1.46344e+06 1.4216e+06 1.46395e+06
1.4466e+06 1.41281e+06 1.45314e+06
1.44655e+06 1.40342e+06 1.45434e+06
1.44753e+06 1.43471e+06 1.46566e+06
1.45391e+06 1.43526e+06 1.44556e+06
1.51898e+06 1.42842e+06 1.50441e+06
1.46106e+06 1.40699e+06 1.43777e+06
1.47235e+06 1.44525e+06 1.48171e+06
1.46786e+06 1.41068e+06 1.46333e+06
1.49068e+06 1.43444e+06 1.46572e+06
1.45162e+06 1.40598e+06 1.43771e+06
1.44875e+06 1.41488e+06 1.43227e+06
1.46544e+06 1.42037e+06 1.46194e+06
1.48149e+06 1.44092e+06 1.47828e+06
1.44898e+06 1.42244e+06 1.45456e+06
1.46079e+06 1.41162e+06 1.45907e+06
1.44655e+06 1.40342e+06 1.45434e+06
1.45696e+06 1.42047e+06 1.45901e+06
1.47861e+06 1.4148e+06 1.42446e+06
1.48198e+06 1.39839e+06 1.48089e+06
1.46057e+06 1.43382e+06 1.47508e+06
1.49068e+06 1.43253e+06 1.44436e+06
1.46542e+06 1.4574e+06 1.47716e+06
1.44746e+06 1.41915e+06 1.45786e+06
1.48068e+06 1.4276e+06 1.46229e+06
1.44917e+06 1.40249e+06 1.42621e+06
1.46678e+06 1.41401e+06 1.46985e+06
1.48198e+06 1.39839e+06 1.48089e+06
1.49775e+06 1.43378e+06 1.51591e+06
1.45747e+06 1.42275e+06 1.44571e+06
1.48031e+06 1.42415e+06 1.46213e+06
1.48188e+06 1.45445e+06 1.48689e+06
1.51898e+06 1.42842e+06 1.50441e+06
1.44753e+06 1.43471e+06 1.46566e+06
1.49397e+06 1.41328e+06 1.51631e+06
1.4659e+06 1.40536e+06 1.45271e+06
1.44864e+06 1.41416e+06 1.44172e+06
1.45643e+06 1.45839e+06 1.48939e+06
1.46102e+06 1.44238e+06 1.47546e+06
1.44742e+06 1.44467e+06 1.4671e+06
1.43418e+06 1.40638e+06 1.42893e+06
1.47114e+06 1.43616e+06 1.49418e+06
1.46744e+06 1.44175e+06 1.45512e+06
1.47917e+06 1.43057e+06 1.44773e+06
1.47971e+06 1.46014e+06 1.47135e+06
1.45899e+06 1.43873e+06 1.47286e+06
1.47534e+06 1.43149e+06 1.48571e+06
1.46662e+06 1.44633e+06 1.46556e+06
1.45664e+06 1.43754e+06 1.48114e+06
1.43655e+06 1.41752e+06 1.42407e+06
1.43418e+06 1.40638e+06 1.42893e+06
1.47396e+06 1.46647e+06 1.47235e+06
1.57913e+06 1.59195e+06 1.46763e+06
1.50056e+06 1.45041e+06 1.47144e+06
1.45288e+06 1.42008e+06 1.47963e+06
1.45334e+06 1.44922e+06 1.46687e+06
1.48707e+06 1.42639e+06 1.4551e+06
1.46336e+06 1.47545e+06 1.43587e+06
1.43579e+06 1.41458e+06 1.41994e+06
1.4512e+06 1.40709e+06 1.43045e+06
1.46949e+06 1.41724e+06 1.45692e+06
1.45146e+06 1.4276e+06 1.44249e+06
1.43897e+06 1.41295e+06 1.42429e+06
1.47178e+06 1.42891e+06 1.48684e+06
1.44867e+06 1.42352e+06 1.43616e+06
1.45747e+06 1.42275e+06 1.44571e+06
1.46834e+06 1.41864e+06 1.46263e+06
1.44668e+06 1.41218e+06 1.44658e+06
1.45899e+06 1.43873e+06 1.47286e+06
1.46225e+06 1.42254e+06 1.43083e+06
1.44948e+06 1.42175e+06 1.4513e+06
1.43056e+06 1.40782e+06 1.42563e+06
1.44069e+06 1.40733e+06 1.4559e+06
1.47467e+06 1.43695e+06 1.46517e+06
1.45157e+06 1.41054e+06 1.43773e+06
1.47034e+06 1.43528e+06 1.46962e+06
1.44972e+06 1.4281e+06 1.46054e+06
1.44746e+06 1.40237e+06 1.45142e+06
1.43578e+06 1.42425e+06 1.42544e+06
1.45822e+06 1.4142e+06 1.4695e+06
1.42937e+06 1.41e+06 1.43824e+06
1.47861e+06 1.4148e+06 1.42446e+06
1.43727e+06 1.39873e+06 1.43342e+06
1.4402e+06 1.41512e+06 1.45647e+06
1.4466e+06 1.41281e+06 1.45314e+06
1.44592e+06 1.4078e+06 1.4277e+06
1.48518e+06 1.43732e+06 1.50059e+06
1.42818e+06 1.4099e+06 1.43891e+06
1.48342e+06 1.4312e+06 1.50041e+06
1.50595e+06 1.43734e+06 1.4487e+06
1.4402e+06 1.41512e+06 1.45647e+06
1.47308e+06 1.46819e+06 1.45263e+06
1.43824e+06 1.40701e+06 1.43079e+06
1.45643e+06 1.45839e+06 1.48939e+06
1.44858e+06 1.40381e+06 1.44614e+06
1.44415e+06 1.40716e+06 1.44042e+06
1.46744e+06 1.44175e+06 1.45512e+06
1.45076e+06 1.41212e+06 1.43782e+06
1.46152e+06 1.42942e+06 1.44325e+06
1.43337e+06 1.41207e+06 1.42902e+06
1.4483e+06 1.40734e+06 1.43347e+06
1.45696e+06 1.42047e+06 1.45901e+06
1.46284e+06 1.43442e+06 1.43244e+06
1.47039e+06 1.42548e+06 1.45494e+06
1.45535e+06 1.44095e+06 1.45896e+06
1.49068e+06 1.43253e+06 1.44436e+06
1.44696e+06 1.40528e+06 1.43118e+06
1.46781e+06 1.42613e+06 1.45481e+06
1.45153e+06 1.46782e+06 1.47949e+06
1.44386e+06 1.40058e+06 1.43199e+06
1.44864e+06 1.41416e+06 1.44172e+06
1.43944e+06 1.4199e+06 1.45692e+06
1.47101e+06 1.43314e+06 1.48693e+06
1.50275e+06 1.45807e+06 1.45506e+06
1.45396e+06 1.4401e+06 1.50215e+06
1.55747e+06 1.48753e+06 1.46232e+06
1.45212e+06 1.42454e+06 1.47803e+06
1.55747e+06 1.48753e+06 1.46232e+06
1.46646e+06 1.43001e+06 1.44366e+06
1.48674e+06 1.4479e+06 1.45246e+06
1.50275e+06 1.45807e+06 1.45506e+06
1.46399e+06 1.41328e+06 1.45609e+06
1.45043e+06 1.38856e+06 1.44742e+06
1.47467e+06 1.43695e+06 1.46517e+06
1.45774e+06 1.43595e+06 1.45583e+06
1.44144e+06 1.40852e+06 1.45223e+06
1.46599e+06 1.45333e+06 1.49526e+06
1.42937e+06 1.41e+06 1.43824e+06
1.46297e+06 1.43492e+06 1.42976e+06
1.47508e+06 1.43737e+06 1.46497e+06
1.48068e+06 1.42506e+06 1.50787e+06
1.46053e+06 1.43941e+06 1.45943e+06
1.46152e+06 1.42942e+06 1.44325e+06
1.48223e+06 1.42371e+06 1.46813e+06
1.48103e+06 1.44297e+06 1.45592e+06
1.44445e+06 1.44817e+06 1.46728e+06
1.49781e+06 1.43302e+06 1.5083e+06
1.4483e+06 1.40734e+06 1.43347e+06
1.48957e+06 1.4223e+06 1.51511e+06
1.49069e+06 1.42487e+06 1.5009e+06
1.44948e+06 1.42175e+06 1.4513e+06
1.45791e+06 1.48116e+06 1.47146e+06
1.47088e+06 1.45553e+06 1.4998e+06
1.47044e+06 1.43644e+06 1.46539e+06
1.46706e+06 1.45492e+06 1.48201e+06
1.44867e+06 1.42352e+06 1.43616e+06
1.46281e+06 1.44766e+06 1.46616e+06
1.44387e+06 1.40349e+06 1.45482e+06
1.45188e+06 1.42381e+06 1.48059e+06
1.4831e+06 1.41145e+06 1.47661e+06
1.4512e+06 1.40709e+06 1.43045e+06
1.48357e+06 1.44118e+06 1.46664e+06
1.47658e+06 1.45692e+06 1.45682e+06
1.46855e+06 1.43437e+06 1.44778e+06
1.4512e+06 1.40709e+06 1.43045e+06
1.46949e+06 1.41724e+06 1.45692e+06
1.45942e+06 1.42352e+06 1.45101e+06
1.52947e+06 1.49744e+06 1.47108e+06
1.42808e+06 1.4166e+06 1.43442e+06
1.44847e+06 1.41038e+06 1.43433e+06
1.46646e+06 1.43001e+06 1.44366e+06
1.45893e+06 1.43399e+06 1.45853e+06
1.47088e+06 1.45553e+06 1.4998e+06
1.47658e+06 1.45692e+06 1.45682e+06
1.46627e+06 1.45039e+06 1.47274e+06
1.46627e+06 1.45039e+06 1.47274e+06
1.49075e+06 1.42379e+06 1.499e+06
1.45069e+06 1.4161e+06 1.43564e+06
1.46281e+06 1.44766e+06 1.46616e+06
1.46659e+06 1.45386e+06 1.46764e+06
1.46736e+06 1.45198e+06 1.44469e+06
1.47114e+06 1.43616e+06 1.49418e+06
1.48756e+06 1.43072e+06 1.51694e+06
1.46278e+06 1.4197e+06 1.46963e+06
1.43944e+06 1.4199e+06 1.45692e+06
1.43418e+06 1.40638e+06 1.42893e+06
1.46855e+06 1.43437e+06 1.44778e+06
1.46308e+06 1.43584e+06 1.44643e+06
1.4666e+06 1.41873e+06 1.4703e+06
1.42808e+06 1.4166e+06 1.43442e+06
1.47428e+06 1.45108e+06 1.47178e+06
1.45456e+06 1.41338e+06 1.44018e+06
1.46828e+06 1.45721e+06 1.49337e+06
1.45244e+06 1.41958e+06 1.43824e+06
1.48518e+06 1.43732e+06 1.50059e+06
1.4659e+06 1.40536e+06 1.45271e+06
1.47556e+06 1.46194e+06 1.49508e+06
1.46284e+06 1.43442e+06 1.43244e+06
1.46669e+06 1.41324e+06 1.47015e+06
1.44032e+06 1.39393e+06 1.44012e+06
1.45288e+06 1.42008e+06 1.47963e+06
1.44395e+06 1.3979e+06 1.43724e+06
1.4741e+06 1.45306e+06 1.49049e+06
1.44746e+06 1.40237e+06 1.45142e+06
1.45578e+06 1.41611e+06 1.44451e+06
1.45076e+06 1.41212e+06 1.43782e+06
1.49445e+06 1.42911e+06 1.51977e+06
