131 16.786
1.62248e+06 1.43602e+06 1.39442e+06
1.62248e+06 1.43602e+06 1.39442e+06
1.56611e+06 1.38495e+06 1.47589e+06
1.49676e+06 1.44806e+06 1.48018e+06
1.49206e+06 1.48369e+06 1.44553e+06
1.49181e+06 1.45543e+06 1.47405e+06
1.59864e+06 1.4093e+06 1.41755e+06
1.54673e+06 1.3885e+06 1.46378e+06
1.56283e+06 1.40411e+06 1.44538e+06
1.51723e+06 1.43032e+06 1.43401e+06
1.56501e+06 1.39916e+06 1.45405e+06
1.52603e+06 1.40936e+06 1.40533e+06
1.5796e+06 1.43597e+06 1.3981e+06
1.50544e+06 1.4488e+06 1.42228e+06
1.49906e+06 1.47491e+06 1.43069e+06
1.56611e+06 1.38495e+06 1.47589e+06
1.51285e+06 1.47368e+06 1.41017e+06
1.52428e+06 1.41675e+06 1.46252e+06
1.51191e+06 1.43543e+06 1.42931e+06
1.49432e+06 1.46441e+06 1.43299e+06
1.5853e+06 1.42597e+06 1.40438e+06
1.55076e+06 1.44603e+06 1.39732e+06
1.53426e+06 1.39916e+06 1.46973e+06
1.49724e+06 1.44297e+06 1.47079e+06
1.60961e+06 1.43629e+06 1.39442e+06
1.49202e+06 1.46648e+06 1.45976e+06
1.5853e+06 1.42597e+06 1.40438e+06
1.51072e+06 1.41913e+06 1.45016e+06
1.52539e+06 1.47074e+06 1.41482e+06
1.53265e+06 1.43817e+06 1.40057e+06
1.52033e+06 1.43778e+06 1.41602e+06
1.51072e+06 1.41913e+06 1.45016e+06
1.49206e+06 1.48369e+06 1.44553e+06
1.49676e+06 1.44806e+06 1.48018e+06
1.55774e+06 1.38773e+06 1.46438e+06
1.55774e+06 1.38773e+06 1.46438e+06
1.60961e+06 1.43629e+06 1.39442e+06
1.50544e+06 1.4488e+06 1.42228e+06
1.55044e+06 1.45822e+06 1.40054e+06
1.53426e+06 1.39916e+06 1.46973e+06
1.50311e+06 1.42805e+06 1.44713e+06
1.51547e+06 1.40326e+06 1.4633e+06
1.54775e+06 1.40877e+06 1.45596e+06
1.55044e+06 1.45822e+06 1.40054e+06
1.56018e+06 1.40771e+06 1.44748e+06
1.56018e+06 1.40771e+06 1.44748e+06
1.53265e+06 1.43817e+06 1.40057e+06
1.49181e+06 1.45543e+06 1.47405e+06
1.52539e+06 1.47074e+06 1.41482e+06
1.51723e+06 1.43032e+06 1.43401e+06
1.50311e+06 1.42805e+06 1.44713e+06
1.54775e+06 1.40877e+06 1.45596e+06
1.51547e+06 1.40326e+06 1.4633e+06
1.62248e+06 1.43602e+06 1.39442e+06
1.60961e+06 1.43629e+06 1.39442e+06
1.60961e+06 1.43629e+06 1.39442e+06
1.5853e+06 1.42597e+06 1.40438e+06
1.56611e+06 1.38495e+06 1.47589e+06
1.56611e+06 1.38495e+06 1.47589e+06
1.56018e+06 1.40771e+06 1.44748e+06
1.56018e+06 1.40771e+06 1.44748e+06
1.55774e+06 1.38773e+06 1.46438e+06
1.53265e+06 1.43817e+06 1.40057e+06
1.52539e+06 1.47074e+06 1.41482e+06
1.51723e+06 1.43032e+06 1.43401e+06
1.51547e+06 1.40326e+06 1.4633e+06
1.50544e+06 1.4488e+06 1.42228e+06
1.49206e+06 1.48369e+06 1.44553e+06
1.49206e+06 1.48369e+06 1.44553e+06
1.49206e+06 1.48369e+06 1.44553e+06
1.49206e+06 1.48369e+06 1.44553e+06
1.49206e+06 1.48369e+06 1.44553e+06
1.49206e+06 1.48369e+06 1.44553e+06
1.49206e+06 1.48369e+06 1.44553e+06
1.49206e+06 1.48369e+06 1.44553e+06
1.49181e+06 1.45543e+06 1.47405e+06
1.61644e+06 1.39888e+06 1.46514e+06
1.60742e+06 1.44485e+06 1.40359e+06
1.5975e+06 1.38924e+06 1.47951e+06
1.55646e+06 1.39315e+06 1.51387e+06
1.50298e+06 1.49197e+06 1.44977e+06
1.49355e+06 1.4672e+06 1.49296e+06
1.58175e+06 1.39878e+06 1.50085e+06
1.5922e+06 1.42489e+06 1.41013e+06
1.52204e+06 1.44003e+06 1.42639e+06
1.56632e+06 1.48172e+06 1.40735e+06
1.51524e+06 1.41936e+06 1.45458e+06
1.57154e+06 1.40494e+06 1.45175e+06
1.52788e+06 1.45881e+06 1.41862e+06
1.51197e+06 1.44236e+06 1.5065e+06
1.50023e+06 1.4539e+06 1.47198e+06
1.55646e+06 1.39315e+06 1.51387e+06
1.55488e+06 1.40014e+06 1.50644e+06
1.5398e+06 1.43437e+06 1.4339e+06
1.55913e+06 1.41047e+06 1.47025e+06
1.60742e+06 1.44485e+06 1.40359e+06
1.57468e+06 1.45103e+06 1.40424e+06
1.50464e+06 1.44998e+06 1.45888e+06
1.53504e+06 1.41656e+06 1.47849e+06
1.51581e+06 1.47485e+06 1.42496e+06
1.50519e+06 1.47689e+06 1.43838e+06
1.55206e+06 1.40248e+06 1.50112e+06
1.51778e+06 1.43789e+06 1.44118e+06
1.49388e+06 1.48691e+06 1.47046e+06
1.52089e+06 1.40842e+06 1.48335e+06
1.51056e+06 1.46372e+06 1.43292e+06
1.54557e+06 1.41318e+06 1.47729e+06
1.56182e+06 1.41104e+06 1.44539e+06
1.53137e+06 1.44737e+06 1.41581e+06
1.50905e+06 1.44942e+06 1.44769e+06
1.54003e+06 1.42964e+06 1.43298e+06
1.52002e+06 1.41428e+06 1.48732e+06
1.50736e+06 1.48248e+06 1.42261e+06
1.55122e+06 1.42362e+06 1.4383e+06
1.57751e+06 1.42712e+06 1.42008e+06
1.54554e+06 1.42918e+06 1.43213e+06
1.54728e+06 1.42637e+06 1.43507e+06
1.49757e+06 1.45201e+06 1.48455e+06
1.57851e+06 1.4022e+06 1.46573e+06
1.53626e+06 1.42913e+06 1.44412e+06
1.52788e+06 1.45881e+06 1.41862e+06
1.53137e+06 1.44737e+06 1.41581e+06
1.56769e+06 1.43555e+06 1.4079e+06
1.51146e+06 1.44386e+06 1.47986e+06
1.50316e+06 1.48626e+06 1.46608e+06
1.51677e+06 1.46068e+06 1.42313e+06
1.56754e+06 1.40714e+06 1.46183e+06
1.52002e+06 1.41428e+06 1.48732e+06
1.50621e+06 1.46102e+06 1.45007e+06
1.52196e+06 1.43648e+06 1.44405e+06
1.50023e+06 1.4539e+06 1.47198e+06
1.54365e+06 1.44379e+06 1.40826e+06
1.54596e+06 1.42822e+06 1.41226e+06
1.51338e+06 1.43958e+06 1.48451e+06
1.53305e+06 1.42796e+06 1.44577e+06
1.56754e+06 1.40714e+06 1.46183e+06
1.50316e+06 1.48626e+06 1.46608e+06
1.59465e+06 1.4106e+06 1.44617e+06
1.51581e+06 1.47485e+06 1.42496e+06
1.49757e+06 1.45201e+06 1.48455e+06
1.54324e+06 1.42198e+06 1.4504e+06
1.54701e+06 1.4053e+06 1.47075e+06
1.54324e+06 1.42198e+06 1.4504e+06
1.54498e+06 1.43623e+06 1.42303e+06
1.51374e+06 1.42722e+06 1.46532e+06
1.55152e+06 1.41184e+06 1.4219e+06
1.54685e+06 1.42532e+06 1.44003e+06
1.54596e+06 1.42822e+06 1.41226e+06
1.55152e+06 1.41184e+06 1.4219e+06
1.59465e+06 1.4106e+06 1.44617e+06
1.54685e+06 1.42532e+06 1.44003e+06
1.54728e+06 1.42637e+06 1.43507e+06
1.54716e+06 1.42109e+06 1.44601e+06
1.55122e+06 1.42362e+06 1.4383e+06
1.54716e+06 1.42109e+06 1.44601e+06
1.55206e+06 1.40248e+06 1.50112e+06
1.54003e+06 1.42964e+06 1.43298e+06
1.60742e+06 1.44485e+06 1.40359e+06
1.55646e+06 1.39315e+06 1.51387e+06
1.55122e+06 1.42362e+06 1.4383e+06
1.55122e+06 1.42362e+06 1.4383e+06
1.54596e+06 1.42822e+06 1.41226e+06
1.54003e+06 1.42964e+06 1.43298e+06
1.52002e+06 1.41428e+06 1.48732e+06
1.60367e+06 1.41932e+06 1.42408e+06
1.57214e+06 1.46561e+06 1.41092e+06
1.55146e+06 1.40697e+06 1.50618e+06
1.55146e+06 1.40697e+06 1.50618e+06
1.52717e+06 1.50151e+06 1.42262e+06
1.50521e+06 1.49542e+06 1.44875e+06
1.57655e+06 1.40804e+06 1.47283e+06
1.57127e+06 1.48074e+06 1.41147e+06
1.50809e+06 1.47298e+06 1.45703e+06
1.51451e+06 1.46945e+06 1.44165e+06
1.52021e+06 1.42758e+06 1.46487e+06
1.52312e+06 1.46149e+06 1.44212e+06
1.52874e+06 1.43766e+06 1.44564e+06
1.53561e+06 1.45069e+06 1.43489e+06
1.5311e+06 1.43048e+06 1.45581e+06
1.56807e+06 1.426e+06 1.42924e+06
1.58604e+06 1.40715e+06 1.46768e+06
1.57406e+06 1.44519e+06 1.41734e+06
1.54696e+06 1.44654e+06 1.43113e+06
1.50521e+06 1.49542e+06 1.44875e+06
1.54429e+06 1.46344e+06 1.41439e+06
1.53879e+06 1.41953e+06 1.46193e+06
1.53438e+06 1.43201e+06 1.451e+06
1.53374e+06 1.4521e+06 1.43608e+06
1.52517e+06 1.44227e+06 1.44024e+06
1.56346e+06 1.41499e+06 1.45026e+06
1.56278e+06 1.41282e+06 1.45785e+06
1.59354e+06 1.44421e+06 1.41426e+06
1.54916e+06 1.4286e+06 1.43073e+06
1.56544e+06 1.41257e+06 1.46894e+06
1.52581e+06 1.45403e+06 1.43218e+06
1.55731e+06 1.42126e+06 1.45249e+06
1.52853e+06 1.45536e+06 1.4268e+06
1.55983e+06 1.45636e+06 1.41438e+06
1.58804e+06 1.43645e+06 1.41651e+06
1.58804e+06 1.43645e+06 1.41651e+06
1.58022e+06 1.41839e+06 1.43107e+06
1.52561e+06 1.42451e+06 1.4619e+06
1.59845e+06 1.41216e+06 1.43947e+06
1.59527e+06 1.44558e+06 1.41418e+06
1.55731e+06 1.42126e+06 1.45249e+06
1.55736e+06 1.42812e+06 1.42488e+06
1.59845e+06 1.41216e+06 1.43947e+06
1.56542e+06 1.42416e+06 1.44754e+06
1.56228e+06 1.41813e+06 1.46776e+06
1.54149e+06 1.44291e+06 1.43834e+06
1.54149e+06 1.44291e+06 1.43834e+06
1.59727e+06 1.41234e+06 1.44759e+06
1.57601e+06 1.4457e+06 1.41548e+06
1.56483e+06 1.45462e+06 1.41523e+06
1.58022e+06 1.41839e+06 1.43107e+06
1.59415e+06 1.42076e+06 1.43084e+06
1.55983e+06 1.45636e+06 1.41438e+06
1.56228e+06 1.41813e+06 1.46776e+06
1.5946e+06 1.42502e+06 1.43966e+06
1.55859e+06 1.49911e+06 1.41461e+06
1.55624e+06 1.42032e+06 1.4787e+06
1.52704e+06 1.43404e+06 1.49358e+06
1.5235e+06 1.46339e+06 1.48189e+06
1.53268e+06 1.47747e+06 1.43268e+06
1.57785e+06 1.47293e+06 1.42276e+06
1.5306e+06 1.44617e+06 1.4457e+06
1.56708e+06 1.45733e+06 1.42436e+06
1.52667e+06 1.44425e+06 1.4545e+06
1.58793e+06 1.4234e+06 1.47226e+06
1.54698e+06 1.43703e+06 1.46851e+06
1.58764e+06 1.43894e+06 1.42515e+06
1.53823e+06 1.4279e+06 1.46874e+06
1.56288e+06 1.433e+06 1.42636e+06
1.57025e+06 1.42884e+06 1.42569e+06
1.54297e+06 1.44344e+06 1.44418e+06
1.5497e+06 1.43671e+06 1.45268e+06
1.55178e+06 1.45815e+06 1.43453e+06
1.59446e+06 1.4204e+06 1.44394e+06
1.54879e+06 1.47582e+06 1.4185e+06
1.52762e+06 1.46198e+06 1.4411e+06
1.5538e+06 1.43566e+06 1.44216e+06
1.56146e+06 1.43433e+06 1.43633e+06
1.54621e+06 1.47708e+06 1.41928e+06
1.55915e+06 1.44369e+06 1.438e+06
1.54621e+06 1.47708e+06 1.41928e+06
1.55978e+06 1.42848e+06 1.44516e+06
1.55978e+06 1.42848e+06 1.44516e+06
1.57647e+06 1.42902e+06 1.43337e+06
1.56829e+06 1.43523e+06 1.42651e+06
1.56309e+06 1.49609e+06 1.43116e+06
1.5609e+06 1.43234e+06 1.5301e+06
1.52796e+06 1.46978e+06 1.47634e+06
1.5357e+06 1.45874e+06 1.44597e+06
1.5482e+06 1.48355e+06 1.44595e+06
1.55063e+06 1.43375e+06 1.49339e+06
1.53163e+06 1.44541e+06 1.4566e+06
1.55617e+06 1.49259e+06 1.44424e+06
1.55164e+06 1.43782e+06 1.4588e+06
1.57539e+06 1.43248e+06 1.47686e+06
1.55629e+06 1.43499e+06 1.47325e+06
1.55973e+06 1.44214e+06 1.45742e+06
1.57405e+06 1.43483e+06 1.4327e+06
1.55786e+06 1.44505e+06 1.44545e+06
1.5827e+06 1.46491e+06 1.4278e+06
1.58043e+06 1.4371e+06 1.46223e+06
1.56923e+06 1.43948e+06 1.50689e+06
1.55935e+06 1.49816e+06 1.45198e+06
1.53383e+06 1.45207e+06 1.46075e+06
1.5495e+06 1.46858e+06 1.45696e+06
1.56447e+06 1.45542e+06 1.44689e+06
1.5703e+06 1.4382e+06 1.43266e+06
1.54669e+06 1.46445e+06 1.46059e+06
1.54787e+06 1.44672e+06 1.45852e+06
1.56e+06 1.45282e+06 1.45458e+06
1.60109e+06 1.45702e+06 1.43384e+06
1.5738e+06 1.44327e+06 1.47992e+06
1.54195e+06 1.45762e+06 1.51739e+06
1.54076e+06 1.48611e+06 1.48578e+06
1.53655e+06 1.47075e+06 1.49558e+06
1.58193e+06 1.45124e+06 1.43678e+06
1.5518e+06 1.46798e+06 1.46275e+06
1.56592e+06 1.46317e+06 1.45534e+06
1.57123e+06 1.44813e+06 1.45282e+06
1.57843e+06 1.44406e+06 1.43705e+06
1.5368e+06 1.46636e+06 1.49817e+06
1.55844e+06 1.45071e+06 1.47658e+06
1.56907e+06 1.45906e+06 1.46244e+06
1.54193e+06 1.46738e+06 1.4724e+06
1.58703e+06 1.44577e+06 1.44686e+06
1.58506e+06 1.45433e+06 1.43932e+06
1.58009e+06 1.44886e+06 1.51083e+06
1.57343e+06 1.4702e+06 1.45318e+06
1.55915e+06 1.45256e+06 1.49312e+06
1.56188e+06 1.45175e+06 1.5e+06
1.57988e+06 1.45242e+06 1.46335e+06
1.60233e+06 1.45014e+06 1.44871e+06
1.59091e+06 1.47571e+06 1.44693e+06
1.58243e+06 1.47231e+06 1.47267e+06
1.60889e+06 1.45025e+06 1.45458e+06
1.58583e+06 1.47503e+06 1.49002e+06
1.5707e+06 1.37273e+06 1.47689e+06
1.55919e+06 1.36635e+06 1.49877e+06
1.54545e+06 1.43931e+06 1.37849e+06
1.48184e+06 1.50013e+06 1.43312e+06
1.43797e+06 1.48066e+06 1.58244e+06
1.43797e+06 1.48066e+06 1.58244e+06
1.45717e+06 1.49741e+06 1.54459e+06
1.48043e+06 1.41057e+06 1.46274e+06
1.47636e+06 1.38554e+06 1.51822e+06
1.49093e+06 1.42874e+06 1.44885e+06
1.53473e+06 1.4612e+06 1.38615e+06
1.52406e+06 1.38956e+06 1.48478e+06
1.46616e+06 1.43469e+06 1.48296e+06
1.55919e+06 1.36635e+06 1.49877e+06
1.51741e+06 1.47696e+06 1.3918e+06
1.47667e+06 1.47549e+06 1.44263e+06
1.44605e+06 1.45595e+06 1.55308e+06
1.44605e+06 1.45595e+06 1.55308e+06
1.51452e+06 1.45679e+06 1.40769e+06
1.45253e+06 1.44628e+06 1.57109e+06
1.47122e+06 1.45314e+06 1.44267e+06
1.53051e+06 1.44347e+06 1.38869e+06
1.49616e+06 1.38699e+06 1.49424e+06
1.45838e+06 1.39369e+06 1.51388e+06
1.45838e+06 1.39369e+06 1.51388e+06
1.53379e+06 1.43583e+06 1.42193e+06
1.56731e+06 1.37925e+06 1.4705e+06
1.50924e+06 1.40773e+06 1.43773e+06
1.51452e+06 1.45679e+06 1.40769e+06
1.54151e+06 1.40203e+06 1.43709e+06
1.52924e+06 1.39935e+06 1.4488e+06
1.50416e+06 1.39562e+06 1.46338e+06
1.50099e+06 1.39973e+06 1.48334e+06
1.48502e+06 1.4496e+06 1.45128e+06
1.50438e+06 1.38234e+06 1.49472e+06
1.53473e+06 1.4612e+06 1.38615e+06
1.49677e+06 1.40526e+06 1.47742e+06
1.45717e+06 1.49741e+06 1.54459e+06
1.44948e+06 1.44591e+06 1.57339e+06
1.45253e+06 1.44628e+06 1.57109e+06
1.56731e+06 1.37925e+06 1.4705e+06
