370 2.51059
157900 135058 150694
172390 125336 155412
169359 161004 132747
143340 147480 155997
152867 154008 140454
166997 129903 154638
169619 141411 145250
178768 149644 136392
145783 157994 145272
167631 147816 139834
150821 151416 143930
151188 148032 148964
163762 131884 160043
165577 146000 142888
152055 137284 173322
141024 157465 151515
137018 167461 156543
140652 152096 166643
147409 142824 167411
166949 154707 138925
152195 140616 161134
160154 149684 142853
145123 153455 153090
142810 163571 148607
139555 153841 175062
150367 145041 160625
141036 155317 159083
147579 142015 173302
159758 163943 140107
138140 169506 146851
161290 134326 168660
139568 165807 162192
141730 156634 153297
185651 140453 146202
162657 146775 148533
155336 140454 160667
152217 145928 159647
142784 154191 162325
140436 162563 169570
152266 142522 160940
161719 134194 174940
138573 164186 171498
169549 145884 146282
187986 131293 148915
166269 169816 137002
142116 150408 179586
138298 164201 167786
138298 164201 167786
160028 140640 156315
152399 150197 149914
164500 151089 145229
159978 145873 151072
148352 151408 160856
168880 158012 143664
149237 149501 159832
142589 169646 174912
167562 169083 142003
156332 148428 156861
157470 164793 147877
149505 153036 156378
149325 164795 153367
173622 173437 136560
159407 151410 149347
166367 167857 174087
159168 184799 171405
161066 166398 167158
167955 156714 153853
178692 166967 173338
171460 159574 172892
177352 155386 165158
172823 162237 170818
166038 173369 169158
174231 162819 170396
177388 151497 181182
163335 159196 161164
176483 172025 159528
162713 165368 170902
173925 168009 162889
176995 160922 166193
173875 162802 173792
155873 162652 170496
166575 159091 178711
182989 171332 180220
161597 171673 160092
154831 162287 165633
171725 176556 168849
166964 153077 162947
160045 166995 173708
164521 155898 170277
169180 165814 175233
175973 163183 183260
168116 171686 167839
173398 164616 176775
174932 169802 168739
173447 169843 170184
172335 165543 153902
182891 177730 167440
160956 180866 160820
160584 160284 167800
179904 173680 162622
181366 158184 165145
173276 162091 168750
160824 177800 166026
175272 161400 160453
181246 166108 184921
179819 172780 164388
166459 151627 169450
156439 173339 166837
167698 169405 171839
162712 163965 167087
177227 165518 159101
161928 157567 158284
169977 149076 170926
182830 159469 156613
169259 157725 176695
178434 166015 170892
176436 152074 170224
172331 162640 164100
176124 159734 156203
173269 154209 161652
173387 169057 157731
170959 159271 178420
168113 160234 181423
177291 159151 177291
184534 168795 186153
179909 158423 160056
174302 140504 161509
160737 162997 172589
161056 158602 155869
163286 159545 155690
182805 153173 170735
159404 166753 171150
168382 156241 157861
164090 168266 170074
176973 165975 170437
163877 163833 172743
180658 162362 162644
180377 166549 162627
164634 163342 171046
177294 159374 171411
171689 181404 160741
172543 166196 168933
165171 168915 157887
175813 158290 165416
179195 170380 153088
165619 168207 177824
171351 163549 173078
158892 175626 163187
179779 154801 160841
177270 155536 173031
176789 152679 170606
153043 143764 162267
161293 170622 176076
177425 151846 166518
167422 163846 176379
189786 173256 164687
173419 176144 162201
179280 149632 159287
177367 168037 172246
172348 151366 170480
174370 167955 171887
158057 141999 185417
184900 169272 168038
178140 151464 179440
183359 156093 171768
178536 180372 160323
176424 166047 161844
174821 177458 172837
174629 168218 175240
162192 156958 160284
163012 160673 178144
166022 178957 179328
190687 161127 178774
175833 170243 167911
159023 155040 161287
176779 171034 172430
170620 155089 165688
182840 160187 185821
182418 161801 160052
154635 162674 168221
166100 167660 169446
172280 162732 162269
174144 150682 173908
182940 156385 166982
160271 170342 181821
156663 151876 171558
172359 160764 171190
172194 168239 170117
172177 178269 168207
166310 169978 159882
172970 168084 176610
175813 159950 173477
161628 157520 181514
171825 150942 176770
174164 167436 161144
171246 157040 160107
175139 176753 168005
170658 159299 171642
178476 171683 169316
178630 165373 176447
164604 163211 176868
168862 173597 176650
171200 164159 168679
170777 165838 163971
170631 177753 159469
167961 140082 164573
183276 163619 179291
172885 150677 156456
164196 169132 160853
152390 172835 187069
178071 164778 155882
168730 174165 168721
163628 150347 178230
177640 174109 152306
173524 149659 154646
173146 162346 179728
175262 179075 153716
163208 176567 181572
175787 162743 173673
163184 160930 174145
182568 164416 171791
170558 144132 174327
160082 162659 170502
173627 151329 162596
176418 173729 144699
181213 140521 182904
173763 160038 159333
184815 139164 160576
165308 155632 153287
171333 161138 169185
160988 175017 177647
177103 177680 158938
169181 156051 174495
162781 168124 166681
155744 160341 161510
167451 177571 176517
173755 155710 161318
173261 155893 166968
181177 165981 170406
164159 171065 165382
178467 154365 169270
165125 164025 168989
157283 160033 174097
179771 163748 162409
179152 155477 167133
172862 147699 171974
167177 180185 182133
176325 165247 165350
171231 176694 170934
164476 171360 172082
166993 158660 177410
171303 145561 161808
182058 155013 174501
169078 153043 165715
167961 150081 186330
185287 146271 180639
170540 167973 171838
176648 145826 180038
169795 165335 161037
157966 161076 173100
181865 153715 168153
175106 150593 152964
173314 178195 175471
182772 169601 148075
163203 155187 173120
166007 170852 155541
160376 165661 166725
169385 160631 167919
174798 150980 170964
187107 161764 178290
168340 153791 162492
185964 170065 177034
178877 173012 164659
187245 166267 150983
171763 160441 169968
184189 170815 159082
183988 164661 168214
162797 172937 177620
165908 160380 165192
174418 156815 165700
167966 165538 182253
183658 169984 159369
174968 172496 167072
186770 151548 168329
168909 158737 164941
178612 168679 165817
175703 141011 167983
181066 179082 166073
191751 173702 158143
168922 164362 179970
176941 144862 175942
183870 164468 170632
174943 163736 171203
171170 153632 187641
158668 174338 163940
158230 169415 180226
185314 161732 170774
180621 156260 179963
167900 179268 175185
180244 151684 165291
