1201 20.0103
152099 88129 85852
143792 94528 80145
132103 83981 116388
117677 115286 91116
97502 102317 129483
97502 102317 129483
143792 94528 80145
152099 88129 85852
101769 90195 128801
98481 93947 123225
141909 90811 82151
127299 99202 90247
113979 114820 93355
139525 88921 85797
141909 90811 82151
133576 108022 88523
137845 87503 92925
124039 86102 108620
116081 112680 91956
130538 92582 95662
134537 96068 93382
104611 112408 100870
113235 105587 94117
117045 104753 92862
104909 103390 104137
121591 100144 90808
132059 97574 93047
126414 85643 106542
137904 87511 89050
112303 109448 93671
113968 101043 98845
139525 88921 85797
115454 110719 92180
115454 110719 92180
107126 99445 102883
114437 89634 102978
121092 107288 89877
116526 111591 91604
98909 98685 121795
123200 86469 107276
100687 99175 116056
118162 94811 97176
108104 91648 109970
105203 100011 105669
106122 103383 103494
120447 86495 113253
103803 91337 118490
114929 86987 108958
98026 98797 120848
101819 105421 113834
107700 96322 105231
119745 87784 97793
115251 95149 99438
102502 91693 122859
99008 92388 117729
106194 108503 102574
106580 95972 107852
101839 106588 110398
110915 84913 119602
98026 98797 120848
117293 86908 111160
139158 95800 80629
118783 85387 115141
108607 88352 122377
109218 89303 116057
107586 95671 106267
112303 109448 93671
116526 111591 91604
117119 90000 101520
99687 102082 114282
116102 90574 100899
114070 85767 115596
101839 106588 110398
133576 108022 88523
120647 97967 94488
117561 92733 100092
117651 97194 95276
111562 90716 106953
121516 86545 104204
109889 91117 109385
100810 101647 114682
115347 100673 97479
116983 95805 98114
132169 92322 94004
106320 96812 104033
123948 84718 109318
108657 94035 104847
110284 88419 114560
104169 92883 114764
138682 107733 88617
123436 94793 94787
112301 87257 118788
117897 92461 98782
101972 94790 108151
103698 93059 113706
112398 87879 112591
130966 84553 116757
120734 86430 110272
126414 85643 106542
103369 91802 122806
112020 94399 102006
110915 84913 119602
111261 93610 106170
112400 89153 112142
132945 97862 90473
104387 90050 119090
113361 90105 101933
105479 102815 105189
109094 95090 99724
121169 85250 116717
117134 98669 96029
112706 89009 108612
99687 102082 114282
115775 98355 96601
116680 88652 102221
103430 92153 117083
130966 84553 116757
112650 88072 111548
119554 88518 104748
116682 85595 117492
109012 90930 109580
138682 107733 88617
98481 93947 123225
112221 93490 103299
119395 92012 96357
132103 83981 116388
106325 93274 112331
118779 90282 99093
101885 100387 114370
114084 97144 97567
100810 101647 114682
111056 91027 107381
117045 104753 92862
106194 108503 102574
115775 98355 96601
105730 88066 122681
121092 107288 89877
111861 91932 105678
139158 95800 80629
105479 102815 105189
118712 85306 116948
117558 96835 96355
132945 97862 90473
117677 115286 91116
116081 112680 91956
134537 96068 93382
105667 94694 111190
130538 92582 95662
103720 96176 106057
107261 91287 112239
97502 102317 129483
159781 116646 130004
146417 120425 123287
118765 100589 142725
134908 114818 142598
139526 107926 131271
151111 119328 129719
150315 119689 125941
144135 117218 131099
170468 107721 145840
147572 129727 128470
131050 109588 144613
140522 116482 136053
144814 111352 141251
146953 109088 139753
156307 131214 133192
139689 110450 146530
134386 123151 156066
148531 115123 142246
147842 129966 133795
136807 122821 145053
135298 111434 147154
158508 131910 140609
157539 110668 150567
150188 136669 140551
135008 126115 158864
145603 114827 147038
135900 121344 151449
139068 125155 146371
155121 115960 142415
152635 120408 146201
150224 124309 144692
151276 127750 142467
149609 130377 146204
168094 116917 157297
157330 131282 142898
149924 116080 161868
146641 119090 171891
139879 149804 147914
138492 121370 155437
155071 141287 144355
146128 120842 170606
154624 132760 149249
156392 125013 147488
139622 124019 152538
152125 119597 149789
155235 129721 149492
153814 117641 154885
152144 118514 153696
146453 130558 149466
167848 120076 157181
160235 132097 144334
156840 117614 171045
148926 136967 150049
138814 127591 158286
163289 118850 161682
164360 129583 148706
153469 133842 150809
144123 124416 156474
141232 126996 154779
145405 123149 158291
166859 121346 150455
156733 132714 151303
153932 119655 159786
162328 121784 157076
148371 123267 156752
142285 127165 153474
160380 128202 152682
154644 128714 152966
154465 119881 157228
171791 142155 147176
165567 120865 157573
152384 142587 150167
148949 123780 173148
139672 137479 166953
144646 124592 159059
166478 127879 156974
160645 123574 168423
163349 121469 164166
171740 130169 151067
166444 134545 147921
156896 138235 152266
148396 124243 166924
162867 122756 164261
149843 140708 154184
155480 124496 159315
151965 132313 156270
161221 132723 149764
153438 140141 150272
155526 129668 155019
159946 133636 153238
164768 130936 150308
164175 128174 153589
155175 133884 154864
148916 130846 158153
156484 133630 153242
152424 138121 153683
164079 132394 154660
166015 130411 155373
163682 123677 164996
162586 141217 151098
145435 128145 168694
149822 125750 160324
159971 132405 157687
164460 139534 155438
156204 140237 156889
157630 129706 159025
164030 126176 171619
158543 143057 159036
158266 143711 159919
148713 139914 180095
153504 129348 165036
159673 135660 159501
158122 133618 160554
150069 133028 167605
161930 128098 160350
151508 130838 168249
160674 126889 168795
160594 131991 161429
160823 129067 162613
163861 126878 161794
152657 130126 161967
152072 132990 163327
153234 134398 160485
159960 132898 160439
177850 134722 163862
168195 145164 159061
166496 127211 165388
156189 129878 178757
151193 141484 168305
159284 131328 173982
169179 134084 165059
152230 132482 169113
162337 129982 165314
155932 135914 160925
155664 139249 163693
154246 139721 167409
