35459 600.01
146127 90702 71940
119937 76327 106356
118450 107148 69802
110024 79374 111586
100955 120124 73731
86414 106034 97079
100955 120124 73731
101116 111661 75204
137153 95402 71009
141859 89882 72608
104478 108848 71274
131567 96747 70840
136597 98325 70343
114974 78524 100201
119093 78079 101581
101116 111661 75204
128981 84369 75424
133061 80668 85879
122846 76502 102485
86887 103911 89518
90724 102365 80317
111887 79166 99085
91890 98162 79667
105817 106795 72123
103444 85694 84164
90325 101388 85446
94207 105832 78162
121685 77581 94293
91326 100131 83638
105366 81516 107028
143188 90694 72466
118849 76718 103978
95749 93973 81383
99419 100420 76737
107193 79687 110948
117860 77206 104930
93300 97959 86068
107583 97652 72304
113097 80059 98261
106535 81273 103476
94922 95154 82114
146127 90702 71940
116417 78743 95436
127615 84599 75093
113705 79597 93973
108857 80848 93358
126381 83548 77519
99588 86659 91650
101378 86592 90855
91468 101665 80609
87004 102603 95102
109432 95614 73017
124736 80990 83065
102557 82178 96404
141859 89882 72608
100581 83353 104479
123542 78969 87816
98292 88556 81173
105443 82639 90417
87971 103395 84458
92616 92226 87772
102126 84111 96883
101815 97061 73925
109787 82249 92267
100191 91484 77149
116057 77660 106267
144066 96932 70488
88186 99597 97592
106659 91932 73568
100151 93051 76860
104377 81417 109470
90481 100937 85724
104377 81417 109470
111659 78544 105545
125103 77291 92957
104664 93469 73244
104892 86278 78453
98574 91009 79839
98997 87594 86501
86414 106034 97079
111695 77826 107871
96754 108087 76090
115524 86951 75648
108175 81870 103099
128662 85418 74914
120624 77243 95934
96754 108087 76090
102059 82913 108266
132222 99113 69919
127026 87340 74583
112714 82400 88064
109905 80557 92862
117631 85809 78870
144431 90539 72030
122365 81563 86808
96341 104500 78702
124586 81983 80762
114310 87982 74853
89092 98803 87125
115251 78354 103052
121005 82039 81947
114496 88924 74274
119909 78837 89933
112309 84874 81657
117117 79925 91343
117115 87709 72793
97577 96089 78304
113968 83159 84762
108630 83537 87562
111594 85552 82565
125852 85708 75557
118628 78182 98109
97921 96329 77910
97388 91162 82653
118140 78927 88919
119320 80715 88475
96438 92614 84646
89092 98803 87125
96150 92433 85130
111050 84804 86179
112349 85858 81008
107193 79687 110948
118450 107148 69802
88186 99597 97592
87004 102603 95102
97808 94708 78006
119624 77883 98696
120348 82153 83797
110566 79353 108651
102431 93845 74500
121808 79290 87133
104478 108848 71274
101080 94507 75253
94903 89788 85141
96937 89417 98726
136597 98325 70343
97239 89539 85323
144431 90539 72030
114180 88944 77643
96341 104500 78702
115521 77837 106364
118218 85223 78779
126906 83426 77769
110928 82088 88707
132222 99113 69919
133061 80668 85879
87971 103395 84458
110566 79353 108651
94207 105832 78162
114811 82347 86856
117291 78541 98787
129278 82189 93447
118374 83660 100199
115510 100436 78465
104616 98853 88373
104629 95785 92776
123789 84294 89619
111991 83662 95974
121381 92848 81087
107644 92732 85699
106841 88030 87519
126704 82301 93321
123168 90897 86259
119612 91246 84661
128474 91075 83252
114098 87484 93906
121529 86844 94779
106828 91912 86283
112721 91750 83488
123253 86425 93674
125612 88001 89648
116228 86488 98810
115688 99130 83561
107174 100369 89360
106142 98765 105447
121573 88583 98518
108491 96585 97426
113183 93379 87655
111726 98029 88710
122637 89545 90774
117564 99065 84853
109307 94482 96358
112042 91811 91379
113384 90341 93419
109350 95267 89712
113221 94936 84948
117016 89356 92409
114390 90393 91463
117127 87989 98776
116725 90667 89615
111786 93917 90867
111751 95272 89603
113935 89419 98621
127455 90320 96717
122057 106283 84140
118236 89903 97223
115570 90246 101189
107246 102850 94857
109968 97961 100428
110662 95798 89911
118913 99880 87048
120351 98194 86350
124916 90811 95043
117748 91547 98944
113357 94590 92582
114008 93792 90624
112616 94380 99004
121601 95078 88052
126391 93841 87911
114433 92587 92035
115448 94728 89121
114981 99448 87089
110250 98801 96018
114928 92074 96044
115514 92400 91802
112743 93830 95579
130957 94640 89206
129436 107478 86352
123446 90892 99247
110492 99159 103121
109754 109677 100262
115459 105860 88793
128742 92587 95666
121268 93534 93725
111522 102109 90191
111640 97359 96841
119585 91611 97941
119112 101409 87086
112322 96034 90022
111063 99558 95053
115210 94074 91737
113983 95127 100021
118768 95464 89205
130224 99483 88184
118948 94595 91587
125225 93688 95112
124874 92277 102451
124137 111299 88926
111612 100158 95265
119923 102340 89584
121915 93365 99015
113962 97181 93928
112320 97592 97921
116078 95663 97795
119869 98682 91052
118423 94264 91810
116441 96405 92614
115638 100458 90265
115622 99199 93848
117236 95250 92203
123170 96426 90061
123011 96971 91490
123015 94186 93814
124545 94652 91805
115715 99876 92227
124846 95488 89372
117178 97081 91523
126069 98070 92241
125287 93797 100551
122450 102842 89796
118069 97371 107143
115991 112588 92459
112151 104810 99025
115013 104966 96017
116201 112005 93732
115083 97846 101007
112709 100710 97019
120569 94970 92636
117962 103562 90913
119812 97266 93238
116831 100432 96310
117123 101251 94681
119964 95672 92305
115653 100653 95740
117213 97403 93034
126341 95284 93764
123424 98470 93039
122956 110800 94095
119424 100321 112727
112945 104426 108951
117050 104471 96428
122146 96033 100335
114284 102548 97583
126103 95337 98807
119936 102216 96956
120409 96373 95849
120275 96457 94854
123210 95375 99850
122322 102497 94475
135036 101365 94103
130890 104440 93208
123292 95866 101585
122086 97157 100227
126550 99715 95275
123585 99522 99056
134399 102000 94293
126242 101913 97459
124385 98042 100331
123513 100563 107749
124365 99617 102912
146127 90702 71940
119937 76327 106356
118450 107148 69802
107193 79687 110948
100955 120124 73731
86414 106034 97079
100955 120124 73731
101116 111661 75204
137153 95402 71009
133061 80668 85879
141859 89882 72608
104478 108848 71274
136597 98325 70343
127344 82569 75551
101116 111661 75204
102059 82913 108266
105103 81518 109915
96754 108087 76090
111695 77826 107871
115521 77837 106364
130470 79506 88393
120624 77243 95934
131567 96747 70840
89092 98803 87125
86887 103911 89518
141859 89882 72608
97921 96329 77910
94207 105832 78162
88186 99597 97592
92140 93228 85135
88612 99901 96401
112271 78452 104369
132222 99113 69919
109207 80064 100830
99419 100420 76737
96341 104500 78702
94134 91532 89008
110257 81581 93652
91468 101665 80609
113750 84100 83460
97388 91162 82653
111659 78544 105545
87004 102603 95102
94973 90782 86665
100618 86730 94907
98568 94560 77694
119093 78079 101581
91042 92652 88721
126164 78926 90210
118849 76718 103978
103691 92538 74063
105817 106795 72123
98894 89757 83753
117117 79925 91343
111249 81342 92326
116177 80457 90613
95459 95157 79613
144431 90539 72030
122846 76502 102485
86414 106034 97079
92757 93724 84300
117860 77206 104930
103138 82726 110406
114006 81746 87739
90325 101388 85446
109855 79177 103765
108978 82283 92813
115889 79067 98396
123787 84923 76711
106655 81802 102887
99990 88531 85596
90481 100937 85724
93563 96824 84243
124586 81983 80762
121685 77581 94293
107873 103133 70053
110566 85828 84090
105606 92026 77219
123311 83197 77341
89963 102850 80255
105995 82120 99271
144431 90539 72030
113980 78334 103411
143188 90694 72466
108489 81105 94336
94427 97652 79963
95749 93973 81383
108283 79851 101889
114800 84514 81090
122041 82186 86244
104119 84331 88210
123620 87124 73175
111025 85209 80676
90724 102365 80317
116636 91173 75590
136597 98325 70343
101731 108345 74826
113002 87546 80250
106973 81249 100391
110761 91366 71875
118450 107148 69802
110568 79473 99755
102431 93845 74500
130470 79506 88393
103178 88606 85034
146127 90702 71940
121514 86593 77122
116057 77660 106267
104937 89047 80320
106501 87961 76466
122293 91010 75261
102349 89291 80058
103266 87349 82079
113470 87727 76386
96341 104500 78702
87971 103395 84458
105343 83470 102401
101815 97061 73925
88792 103906 81510
97808 94708 78006
125816 86162 75246
101460 85989 97966
102793 84634 91685
104664 93469 73244
115758 83621 79347
102723 83808 101254
101494 86490 95484
119037 78539 99004
114555 78711 101271
124845 86368 76390
109999 80630 100090
126166 83350 73543
94628 97504 82533
108021 82801 91841
126694 81329 82476
101603 94211 75022
108625 87407 81750
91326 100131 83638
87971 103395 84458
101378 86592 90855
103996 86944 82336
101732 86140 93046
117860 77206 104930
117046 84487 78459
105733 88215 79736
143188 90694 72466
104478 108848 71274
107293 86621 87307
114646 86370 79037
107193 79687 110948
107293 86621 87307
119487 88677 80487
116287 84984 83754
114899 86121 99700
109775 96467 78051
100727 101266 95447
111931 89785 85537
106823 94237 83108
102751 100468 83569
118090 90741 81489
114599 86248 84064
116816 95123 80592
102449 90318 83872
124326 91053 83586
119073 86476 101263
113177 100463 79756
105272 114044 92153
105356 95095 97129
111308 92349 92950
108486 93492 88077
120764 87555 85052
107537 96759 85284
115019 89064 89819
110880 93030 87041
117459 95181 80689
115454 98740 83347
119593 92409 81056
106232 98450 84875
114797 88481 92742
115558 91394 84562
118233 94341 84122
105658 96080 87123
118975 90578 84641
117801 88921 87871
120064 91132 83769
115279 86787 87986
123248 88344 85151
118546 97639 80779
114559 108058 83141
106723 97690 98898
108043 105045 94383
112354 98731 85069
111056 96485 96358
119468 91642 87853
121828 95605 82029
116135 89530 91818
112668 93754 98635
122735 88734 94715
115525 92822 94107
117929 93943 86504
108813 97529 86451
119317 89532 91231
115505 95615 89164
107000 98309 94627
115879 94219 90607
114864 95320 90979
114803 94334 97497
112075 97481 85884
118339 91847 85988
114649 95920 97553
115540 94313 88203
118141 97442 85912
115443 96147 87900
112245 96146 90685
116077 98559 85133
126751 97298 86200
121901 89679 97826
120958 110227 81017
108857 99692 100963
107790 107737 95419
121941 101910 83433
109463 104949 88810
112369 97651 96862
114429 101072 90573
117224 101471 85689
119830 92968 93357
116320 95174 90775
124736 93027 92487
118360 92036 96234
118682 95978 88922
119491 95258 90127
118100 93825 92086
124840 91123 86619
124885 93500 86617
111271 99589 92159
115654 99811 88362
116086 98889 87135
109587 101321 86994
120465 96632 87367
117820 100342 86958
115729 97890 87405
111521 99525 90719
108916 100068 93211
120693 93612 87967
121205 93268 92481
121456 93081 87290
129072 102618 86828
127220 92082 91342
124353 93238 101322
121461 103337 86448
120846 107261 87543
109586 102617 98034
113805 100146 98112
109716 103752 96393
121057 96929 94273
111503 107091 91499
112213 100992 91621
117252 96138 95875
122430 94625 87732
117900 99016 89115
119450 95140 95151
126237 93096 95578
127570 93199 90036
124544 102174 87128
118153 95548 94565
121161 94334 88698
112574 102488 89053
117622 99629 88785
124337 95883 88121
122910 94419 100872
110422 111426 101925
111514 109034 98303
120084 98511 95860
117006 101554 95499
113846 103216 93135
112766 105350 91724
117877 101258 92527
120141 97355 97040
122178 94572 90236
116000 110994 91580
115579 102742 96765
121478 100361 90588
114897 103922 91650
121293 105000 90424
121745 95056 91342
112818 103259 101709
129563 99268 89116
124653 95367 98416
118526 106214 102850
115677 109298 101455
121884 96439 92431
123520 104364 90985
126378 98497 91063
124070 101191 91045
126355 102446 92489
125896 99056 101844
125684 106550 91197
121923 101388 93282
124962 104065 92460
125319 99417 92520
146127 90702 71940
119937 76327 106356
118450 107148 69802
110024 79374 111586
100955 120124 73731
86414 106034 97079
100955 120124 73731
101116 111661 75204
137153 95402 71009
141859 89882 72608
104478 108848 71274
101116 111661 75204
133061 80668 85879
136597 98325 70343
91326 100131 83638
128981 84369 75424
130470 79506 88393
94207 105832 78162
87004 102603 95102
126164 78926 90210
95472 101049 79350
100151 93051 76860
143188 90694 72466
92616 92226 87772
91468 101665 80609
88186 99597 97592
110566 79353 108651
127344 82569 75551
144431 90539 72030
132222 99113 69919
90481 100937 85724
101815 97061 73925
118849 76718 103978
93836 92578 85818
124736 80990 83065
123311 83197 77341
121820 76985 98503
122846 76502 102485
105817 106795 72123
107196 84699 92829
117029 78253 99304
99495 86808 85281
117860 77206 104930
105103 81518 109915
115521 77837 106364
141859 89882 72608
103871 83984 97481
120624 77243 95934
123663 78148 91921
121110 79673 91230
131567 96747 70840
89902 93191 87474
90724 102365 80317
131274 77130 96696
96341 104500 78702
108742 84280 92257
116010 82009 89841
119459 84297 80965
107873 103133 70053
108214 90236 76395
102723 83808 101254
144066 96932 70488
106535 81273 103476
101731 108345 74826
111659 78544 105545
116785 78427 98919
110761 91366 71875
107167 80905 107389
121399 81694 84168
115284 78621 93663
89468 102783 81446
88792 103906 81510
120399 77519 101651
107118 91898 74306
97406 87758 89198
101378 86592 90855
125103 77291 92957
86887 103911 89518
104664 93469 73244
96192 94278 78845
114129 79301 94159
98568 94560 77694
102059 82913 108266
92757 93724 84300
113769 80169 94549
109680 88145 81933
127026 87340 74583
94922 95154 82114
96754 108087 76090
122518 76594 98065
112271 78452 104369
86414 106034 97079
123956 79066 90334
114974 78524 100201
105103 81518 109915
94973 90782 86665
111114 86336 84879
91890 98162 79667
114282 77931 107833
111915 79420 102146
109514 80812 100805
111368 80823 99871
114740 91084 73133
118450 107148 69802
112851 87110 78939
106012 89276 78430
109340 80872 96312
102431 93845 74500
110727 80763 103201
146127 90702 71940
98997 87594 86501
104121 86293 88485
113165 80364 101366
108899 82962 90538
122337 86095 75801
97808 94708 78006
116057 77660 106267
105492 85569 86262
97921 96329 77910
111676 88724 77378
116097 82695 85121
89092 98803 87125
112246 84397 80091
118374 87509 76724
106860 87009 82859
107193 79687 110948
102939 88315 82210
91890 98162 79667
87971 103395 84458
106310 85139 86316
107193 79687 110948
87971 103395 84458
108155 88949 80485
104204 89427 80225
114407 82341 93137
110172 87161 82507
117629 82687 89253
97388 91162 82653
105390 85593 94646
122291 85068 77733
96754 108087 76090
102939 91158 78229
136597 98325 70343
97921 96329 77910
114545 80312 93285
96341 104500 78702
133061 80668 85879
104478 108848 71274
89092 98803 87125
113535 86130 79644
113535 86130 79644
105390 85593 94646
121670 87790 85404
115029 101378 80146
107114 86423 100574
100544 103196 91256
102993 99666 84098
119173 92422 81784
108382 96979 98057
109295 92756 89130
111003 94569 87321
113486 89436 84857
107735 97906 94125
109014 90292 90348
111555 89460 92461
120181 88018 84228
108958 94976 82621
108257 97378 94848
108761 97447 87391
111030 90074 83560
111258 89600 94815
124188 90448 87953
119552 102997 80565
109234 87949 105380
106286 102699 87252
106987 100954 88585
111715 95250 83548
116450 90647 101606
110105 93260 92565
116527 89545 90640
109737 93804 96589
109575 91971 98291
121777 92334 84311
113951 102640 83076
122854 94652 84014
106618 102355 90598
113442 92570 86367
113427 92033 86976
126633 100586 83588
121626 90452 96775
111314 97953 96987
107633 105240 91532
110004 101368 89641
114886 98341 85322
118244 92049 93019
109119 104497 94102
122239 97542 83674
107668 102402 95058
120505 91006 93371
112515 96984 87865
112973 94103 95272
113815 92150 87183
112012 99146 92112
122191 94234 86132
112030 100407 86363
112644 95503 95073
121157 96089 86889
113266 96224 86972
124154 91459 93509
122385 102751 85210
108689 106896 92677
107919 102632 100548
113876 92619 87666
113778 95016 98201
111727 100586 99732
120099 93961 87375
112204 102629 92302
113289 98522 98404
116350 105085 86626
117694 102994 85502
121799 102142 85684
110126 104229 93481
113517 96637 93180
116323 92741 87475
124998 91659 102071
119601 105001 85663
119289 115061 86643
111352 105488 94223
112500 101357 100342
124612 91913 95956
122592 95590 87444
117133 97975 88124
119010 93663 91095
113644 99191 93226
117604 92897 92354
120899 94481 87929
121958 99761 87380
114232 94227 89100
115281 93669 91824
119939 92721 91919
114966 99612 88788
117169 94035 88985
126025 99472 88166
121171 106536 87562
120401 93256 94991
114732 113592 95419
113141 105161 103306
112425 106362 100365
121956 103083 88519
115248 96494 91866
114056 100185 100874
118421 93838 101377
117149 98905 88773
118975 97163 90297
118503 95382 90959
116828 94865 95104
120357 94674 90460
115066 99244 89998
123425 94733 92552
119644 109382 88977
115135 104277 100725
121184 95703 95518
120438 95252 96949
116649 97497 95270
118042 107349 90468
115946 100632 92814
117581 97126 99905
119676 101362 89303
123079 100932 89889
115759 104410 99952
118742 96986 93821
117659 100927 91685
118355 97445 94065
120508 101149 90644
125287 96125 93206
123565 109765 90740
117994 98859 98807
123712 98952 95393
118033 103011 98169
118508 106127 92796
120533 103294 91504
121144 101493 91038
119005 99038 94225
118656 103636 92520
121138 100927 93827
119335 101498 92743
118398 97955 98583
127660 100906 93262
126117 105061 91364
119795 98827 102947
119032 107978 95170
121761 100197 100771
125053 105760 91602
125923 98842 97111
119078 100684 95153
129816 101595 95403
120075 100962 96130
119475 106274 99119
121880 101696 95852
124468 107682 102440
