4464 116.12
149492 89518 76951
79417 83357 154537
69165 144400 104085
130383 70835 125204
112171 115950 69564
66185 127009 132101
79099 84039 151003
148179 89524 77043
145599 81279 85047
68481 118384 138185
79106 83908 153339
138298 89064 78753
78329 87408 144207
122629 94583 84252
92160 98662 94193
86330 78916 145744
129270 81955 90235
85055 79304 136427
136301 73113 107232
119692 73803 111825
77244 87257 146610
119475 72543 114113
92636 102483 87210
93411 104643 86418
70087 143581 101534
81124 112037 113665
69544 131127 104750
137448 86027 83924
118940 90321 86906
81016 82008 144453
143820 81310 81117
133052 76085 99757
73858 129284 96139
71015 113024 138893
68260 142549 106477
111942 112776 70091
132102 82208 85579
67519 122943 129166
68909 117239 142308
96640 99306 88777
144684 88560 77240
94651 97833 94669
73515 128295 98758
88335 93924 118437
74558 116253 127877
95656 114568 79924
131132 81886 89632
77474 92649 140013
83923 100590 115361
67121 121319 129675
112871 75996 117181
111810 118759 69922
79378 85187 147552
74798 127539 99653
142713 85524 80275
87655 93963 116879
77974 90656 141904
69363 134544 104401
69822 141071 102949
94999 98150 93080
122052 90101 90972
69654 141912 103416
77034 115658 123175
81796 102056 114711
126633 77840 98084
69525 125467 124406
90807 89588 126690
71632 114037 132231
88886 92292 120918
121053 74253 107882
99926 99430 82639
86114 95387 119326
104472 101115 79054
139688 87396 83250
148675 90759 76916
135021 97912 75621
106626 111886 72482
76282 116850 105659
75023 126176 96316
105459 105776 74529
84474 80107 135256
105888 86643 116293
84848 78732 145815
70432 140696 102029
67719 124947 128844
76768 86996 148045
127797 77428 101306
83399 97366 123420
78397 84525 149162
78755 85529 148967
91853 108036 84113
120767 81102 99349
115056 110996 70614
67849 138238 109580
71238 129809 103299
70173 138584 103178
102744 92003 89852
68004 137807 109161
124492 71909 115686
82735 85691 133220
124899 72068 112466
68790 136823 105643
72392 120205 126106
124288 78556 100074
141086 81667 85072
102320 88773 117603
114040 108924 71542
107710 107740 73167
103567 105064 76022
81585 121722 100752
73123 133150 97104
120090 86241 91687
88595 77512 141362
107987 106448 74319
74898 123572 99547
79666 88050 132834
116430 73156 118084
96343 79265 126423
85813 81204 134497
118206 86232 93579
74324 122435 100174
94348 117008 81683
122912 92115 84702
100897 92478 89153
109652 104099 75249
67093 120845 133307
114458 95517 79472
103089 88173 110722
127542 90578 82975
72541 131668 98343
121889 71712 117895
123536 83534 90670
131819 76509 99494
69678 144347 102710
93174 80381 130686
74547 113624 135749
115262 105967 72913
71130 131998 103516
67509 142506 110358
139735 101839 74189
116979 97118 77481
108897 103285 75875
99295 110041 80416
125231 74833 106893
66380 125120 130839
137725 88594 79782
143163 96688 77673
117574 78001 105423
69540 132794 106954
135549 78069 97652
102159 109471 78185
121394 71401 120082
110196 108423 73156
78979 84412 150222
104167 111479 74917
109538 77023 113260
126454 95851 78483
87306 84957 130034
128547 80956 91082
86702 83722 134190
70615 133928 101711
97927 115305 78159
123441 87726 91317
111548 91215 108428
107067 107513 74202
71925 120615 124076
73669 119382 124634
93932 102070 87984
101362 99853 80626
89939 114401 85578
67692 139247 109822
70772 137424 100281
68825 117931 127392
100319 100280 80079
80044 116295 114161
116044 79792 106726
69965 117775 127171
97584 93640 92683
125870 80114 96407
101157 103776 79157
118558 74520 108188
112250 107192 72283
69264 122249 125786
94795 99892 92207
72166 130193 98872
140513 74819 103812
76645 119782 100787
72030 135648 98707
85220 98877 111367
80692 96021 130884
108695 80514 112530
90862 103135 95528
98842 82287 121774
80458 103069 119467
85092 93324 122193
75788 118334 103027
69676 140420 103721
73134 113895 136082
103954 110253 75777
145280 80891 89639
88047 91179 125147
95181 84393 125927
69210 124764 125476
83116 97515 121321
99204 92948 88275
128816 90989 78308
73338 131421 97755
125053 75361 102374
121394 71401 120082
91475 108493 83419
79033 84403 153615
106256 86696 109015
89186 93697 119892
104615 102843 76672
108270 96130 82130
68945 136392 105224
85558 93291 122069
109538 77023 113260
71848 126639 101634
97124 106689 83062
76548 97554 133681
113312 81822 108847
113814 95202 83562
117205 82848 104154
79832 82437 140904
124718 73592 111212
70793 135276 101526
114302 88414 95653
91327 104499 88374
116794 105863 73520
111197 108473 72149
103154 109216 76547
141686 77577 96618
90343 79860 135414
75663 91761 140379
113872 85236 107503
141828 83683 82572
89856 82403 131589
108419 111477 71812
133507 80171 91981
80218 111296 125409
133950 87903 81368
67988 121033 130263
115825 73592 117274
132055 81683 87893
81503 83501 139070
115253 75268 110061
120977 75557 103629
127783 91517 82930
104910 107642 75468
79395 83599 149896
68443 139290 105941
69019 133792 108734
95042 96582 93664
105961 110794 73918
68457 134932 108701
134345 80087 91616
75590 117505 122071
115027 81351 106172
104758 109686 75373
140846 76551 96764
93682 107180 82236
133776 99757 75059
83281 84918 131364
73425 119422 101043
115537 109321 71220
97213 104996 84505
110822 110562 71093
92734 100241 91987
72862 135956 97151
110418 105604 73870
134253 80076 92608
98250 110123 80735
80039 124102 96444
94417 106940 84498
113661 101851 73682
140163 82395 83709
135803 77731 91208
114196 76600 116532
72936 117422 124790
87313 82571 134310
98321 100922 83537
98785 80613 123207
89406 83136 134047
82917 83132 135684
67537 139678 110241
123456 84809 97243
95931 105223 83874
90973 77965 140630
100643 99760 82474
66335 124180 132043
83770 104397 108205
97761 103626 83746
89356 96318 116661
114826 86945 107098
115671 82795 105200
72164 126266 99883
67960 120559 133895
72784 129038 98724
108757 98939 78657
