10233 320.465
104675 164132 64809
67635 126940 152210
167529 72464 78656
139103 149694 56636
71216 104693 168132
156440 57498 124055
126587 146434 58127
167202 71921 79158
93428 94548 106538
124580 152351 58727
164199 73998 77270
99116 125183 76119
95327 84668 114407
94239 84098 116425
80045 92303 144749
125722 67114 101171
71083 108586 160622
117406 140562 61306
160342 61491 105266
71384 117962 129903
127142 143655 59450
148012 60561 108978
92342 93483 107903
118961 139852 62284
98219 83615 113599
141492 148969 56816
91224 85088 120208
96197 83498 115582
77572 95988 155264
79501 109755 119406
71566 103560 165411
147219 76723 81043
72399 114108 132341
102671 125696 73832
88189 88325 117092
68026 126815 146898
148336 62320 100641
101886 82825 112632
69867 119216 142385
78403 100849 131291
75389 97380 159171
147721 64656 91185
106169 159903 63396
134907 75937 85026
71125 104892 168082
97417 127642 76728
139507 64314 91912
137873 150849 57228
105642 148047 66165
68273 123381 145927
70364 113693 139065
130195 68949 97185
103480 156242 65451
82347 89479 130101
75926 101112 134726
72737 118680 128211
112808 128835 70329
108548 155142 63259
145163 65890 88056
75411 99383 149545
70790 106820 166207
155239 80878 76364
160084 81618 74551
137820 63463 100397
86364 92878 111150
73852 107741 135780
85945 87891 121273
129382 139302 61417
88813 91496 110196
132911 68616 93187
140783 136779 59840
114131 137576 65064
70895 105381 164132
70169 115863 143816
83971 86628 127497
69600 116673 144223
104340 129659 71361
149901 73754 80284
71937 102181 162323
70075 111868 156708
69742 115465 151453
71336 107445 157533
115174 153869 60454
90004 95565 104823
99648 132380 69419
138535 77971 82429
68649 120286 146425
84519 101798 108355
107854 159246 63298
97737 127810 76546
119124 133216 64130
85016 87328 126147
116595 148915 61728
72427 99520 158645
152757 68894 86298
162582 74304 78151
111377 162561 61059
133715 69418 89897
95608 91630 107356
74567 102684 141738
90877 88929 113905
125381 68126 102493
73484 97544 161711
137441 67047 92168
87246 85553 121686
122342 145426 60519
121209 153433 59985
71757 109032 148196
110549 154751 62279
76507 98878 137927
114826 146107 62142
152435 75695 79828
107730 138603 66786
138034 62553 104117
156588 81974 75253
157821 76139 76699
122604 72365 95609
119915 120899 73637
79835 98499 125218
103702 130064 70855
120833 140500 61764
92932 88522 115333
100621 123228 76388
133081 80010 84938
112265 134260 67990
121781 120718 74761
83561 88575 123264
105080 157003 63839
151740 58466 120320
68974 115080 154566
101392 131145 74650
76109 105598 134026
142732 61450 108733
78969 97925 133245
104688 163455 64383
137624 64970 96343
82796 93537 117712
67657 126059 152884
132120 66421 94307
78225 105874 128885
111169 161914 61179
132329 65560 99633
140276 67624 89154
129918 65651 99401
155993 76637 77141
113793 130665 67370
102162 142998 69183
108370 161222 62551
135431 75540 87289
146441 76331 81103
74660 110361 125726
110841 157982 61529
143096 74708 81201
105772 144685 65671
163236 75409 77879
120236 138112 62346
149508 59141 121528
137104 66605 93268
78982 93199 150254
72163 103164 153043
133567 135467 60148
152807 58073 124392
68497 122599 139658
78151 94650 140067
106618 129155 69598
134324 134884 60768
143271 61357 110648
153518 58198 120494
123740 73130 95230
76973 97014 155567
74272 103405 138356
79083 95125 133569
71415 104511 163526
79435 90391 154114
143966 67364 89136
134296 149328 57500
88557 84950 121008
83824 94162 112290
115728 157752 60399
75163 101436 152198
138270 78540 81947
136157 64650 98786
110062 152895 64766
153032 58988 115798
128853 144932 58879
73056 102044 148421
135987 67829 93649
89796 103975 103706
86635 91770 112237
146956 59714 115982
106470 132583 68846
113256 133850 67103
143663 71257 84603
138636 79337 81865
128363 70536 96116
104800 127049 72181
144858 65288 88600
69033 122509 140514
82141 91106 128067
104881 160790 65012
71780 109159 141448
124348 68023 103609
131293 65889 98562
70607 108161 163152
70936 112257 137106
154902 57697 122250
79427 110784 116900
150536 73568 81932
79405 105384 131092
144508 72283 83192
73552 108130 143122
127465 68749 98322
76677 111415 122768
130833 69623 94183
72207 99783 153835
105000 126527 71703
81248 108261 118110
138323 142336 59297
80844 97750 127021
153794 74409 78680
93107 86157 117675
103125 121633 72982
95524 131618 77799
159014 71588 80101
151460 70913 82989
136624 74333 87792
69452 116579 150801
81318 91293 132012
164199 73998 77270
147603 79115 78948
89656 91453 111724
160821 72304 78987
133737 69356 88702
74161 97555 156129
161581 73367 78321
106916 121057 73173
133087 66335 97604
112627 150256 61579
69039 119735 153977
86916 86852 118750
109697 157308 62625
70790 106820 166207
79806 100060 128200
103367 129903 72607
158844 70111 83416
103856 135954 68675
76695 98187 148855
82188 108056 112849
139880 72891 83383
138708 74669 84349
128957 147628 57730
82662 87337 123667
74963 98224 154768
70981 113083 136746
76583 112681 122749
87175 89900 115526
113392 131941 68381
69251 121292 145940
146591 60104 116070
148897 72420 82549
151253 70606 83795
163372 73569 78089
102034 130929 70144
123472 68924 102495
89445 101151 108913
149133 71110 82322
128011 76454 93932
80555 95933 133515
154632 69867 83836
75975 106133 123899
115979 136513 65815
69593 121664 139877
125244 135972 64112
112736 134593 66460
90583 86089 118797
108007 138289 67685
90649 86065 118493
84859 95571 110799
142810 72632 86860
109215 136232 67446
109138 141938 65544
99321 133641 69539
82014 105796 122218
110844 152814 63036
73511 112170 140858
68920 116548 155437
107305 157293 63708
156588 81974 75253
73733 113191 125754
81514 107370 123403
131133 141097 60692
107151 142913 67619
154500 71845 79331
74217 105942 136221
116252 142071 62761
85959 98848 110399
128957 147628 57730
81620 97660 126624
159420 81224 75016
114489 141324 65044
