382 6.38007
162997 157595 125724
163460 160631 169881
154874 169778 164263
160228 160077 114394
144478 161942 148489
159890 154693 144375
160501 147431 126261
139328 164136 180918
152354 159560 149105
167513 157278 155182
177136 143920 116822
149117 173377 163880
154051 167148 118849
150236 164069 163090
157781 151344 119060
162777 153997 135806
150377 161640 157076
177999 175447 125832
134688 160045 168792
134307 154899 165301
147035 157410 158824
167587 161227 105948
184816 160261 124390
164072 142931 137720
176295 149496 136739
156361 161038 142363
164532 154112 123524
146311 171961 163533
146922 164011 132919
145704 162195 168707
124319 144587 142821
155273 153522 149054
130611 162945 182683
172323 151812 119817
161736 179653 114782
159905 158643 138038
140032 175974 146154
156206 164530 164515
160922 169412 134675
157709 175702 105671
147535 160945 122884
167599 146865 105321
173033 168009 114244
172362 163650 128676
131446 165596 170390
164389 160009 166175
136623 167140 157576
165957 161377 111453
169495 153119 119275
166696 168879 111746
154420 160759 169300
163000 170029 101401
149453 155596 162054
159158 133428 133511
158913 158694 118556
152381 154767 133705
152648 161183 132161
147270 157253 155474
154692 140309 134839
159106 148153 117814
182247 153554 123863
177889 146079 104970
164232 149595 127865
169920 153615 115554
166985 188199 148115
158152 170862 143630
156068 153617 157001
172505 150030 118904
173033 173245 140966
181031 173509 112864
152484 154236 143144
172639 158168 117019
168869 168475 170956
151747 157413 157967
164872 167231 136139
169305 156132 140507
154007 144078 164619
160758 155620 135009
149644 171480 174207
142476 160102 160438
132577 157158 165027
150945 169049 110701
151549 159452 111174
162245 144135 120711
150838 164121 136968
172303 162304 129682
171711 153671 119065
132676 171407 169713
145336 161438 185686
157195 182643 171321
174997 169540 118504
186806 155620 132640
168167 160198 121753
164423 168352 124163
169035 133786 128678
173806 152646 137782
164597 150979 114083
168476 160927 128944
164710 155152 143570
168366 149462 118716
155355 152503 137362
152800 149054 130434
176012 164001 108902
181480 167530 106206
157177 170659 155646
170348 164841 139112
170695 160317 130491
166683 151090 129181
167892 164831 106946
147694 164356 145927
155958 171645 129668
173415 145751 125722
162466 165591 114451
176177 161268 137814
177800 156411 146298
168977 158588 133006
175381 155866 151818
166529 153905 163339
175337 152048 116394
174516 149267 122873
145271 177428 165558
163662 156786 115315
164711 172814 133322
152674 173125 176960
170277 160772 129001
160202 159990 124846
174340 146317 145710
155263 143282 107549
167283 154858 124014
180748 173569 125641
158955 152141 115358
157943 156044 151294
150189 151255 163949
160698 147281 135883
148866 168300 160339
157053 139188 147671
157795 160252 119721
162302 163780 131170
175468 159262 128592
160119 179177 120917
156188 176902 170562
167165 170807 157607
165097 147761 126160
164407 177601 143820
150591 167391 147473
161527 169793 151943
165336 157029 152270
143953 159935 162897
139629 152202 178620
173740 136302 127328
167002 172895 130907
178269 144968 141934
155787 160118 172198
171628 157747 109964
154098 154460 169081
146621 151634 152834
156180 169648 167906
156149 154507 113996
150861 159371 173678
150330 167616 147374
164905 159645 130385
134564 171278 162316
165702 155836 114176
168681 154304 111985
145513 167814 157625
152013 164405 141822
175257 159115 152361
158213 174244 157637
160188 158306 175587
168091 159952 140351
148367 162277 150690
156548 150982 112682
160585 148650 139138
151364 161040 167453
146592 170098 179150
155744 145770 140485
141245 173580 153568
132325 154943 178572
168233 166812 124377
158961 153286 152264
157369 154559 108863
165383 167303 165694
157880 159724 152946
165573 143203 136677
174134 157306 175539
150935 152741 141771
134183 170378 179704
170958 157848 118455
143812 175450 157099
141860 162786 164262
148085 168408 129983
169216 166784 155563
165289 162743 109083
160609 155010 116427
163510 157919 143018
163772 150749 126609
158104 155834 117072
152299 155138 154242
171221 163464 114582
159122 158410 169577
175075 154795 136762
157921 154137 114680
163155 162165 141176
140030 171195 158886
156429 160283 157486
162963 163025 153521
169865 173501 132318
156117 155995 147218
170951 148501 162099
173738 168529 136965
163182 145215 163780
158986 169639 172455
174436 147698 124533
140539 179211 173560
166817 161815 136132
145385 170701 172736
168268 146638 123121
143030 159404 171155
164844 150292 124524
165895 168492 140948
162555 170157 121865
165900 143765 146116
165745 156122 119962
159964 154042 152196
153640 177023 149384
150484 152459 166693
148801 164285 161328
135496 162736 169419
157147 156264 136285
131109 158794 155451
165287 140706 112758
175549 131662 136998
166762 167473 137780
170720 157942 157510
161860 156974 116992
160543 151667 133068
163819 155024 119086
151327 158818 147424
160022 145045 132362
181004 163575 108255
156683 163259 156732
164223 161589 120964
158439 151520 135015
178269 161768 123691
170643 154991 120938
159129 162776 161483
171175 164226 115364
149909 165040 154021
163368 134394 122297
171928 149007 108089
163670 154965 161910
153826 164377 155093
151691 173180 157607
169329 165481 140509
150852 166831 119374
152836 163759 185729
158143 167713 158122
156863 150496 149407
170725 164807 151582
156025 167302 113740
150619 162117 145440
141804 168841 166714
143239 166396 153085
144484 177004 167248
154753 164188 160786
148787 163661 177838
154808 152079 159802
166091 148199 126562
159682 160372 147456
176732 160309 121596
166581 160188 160520
156986 147870 138301
154161 150688 151381
152379 153711 152703
165562 160942 117091
169148 163951 129612
143208 162887 142544
150264 147742 125778
169380 146928 119983
149558 155406 158973
167552 154903 134954
165443 149728 161415
151915 149575 151630
155504 159354 132990
158090 145169 134712
173773 143312 157277
148439 140372 165115
149675 173404 142024
180469 165811 122939
152022 163374 110033
160337 154988 138258
159416 149242 140854
152433 172328 167999
133628 155894 167729
176195 157688 121590
170082 173073 121694
140015 151858 142227
160528 161354 134893
177272 177679 155187
160619 159260 119488
