36 0.714277
173289 151071 170229
169051 157568 172270
181921 171115 162462
176319 166968 170759
178752 181587 177379
156481 167206 170328
189404 159778 172116
163803 178629 188017
163978 156605 175783
163083 157853 159231
174569 174314 166202
167145 174803 162905
158734 180803 174056
182120 174928 181810
165544 161598 174976
165691 161183 174769
159149 160815 171637
174320 152677 156422
167987 155477 177249
172121 163741 175490
162518 167374 164718
173617 161389 169045
173116 163892 165961
159298 153913 164177
170345 160785 162509
157337 163658 186955
161070 158856 164708
173869 175400 173442
187278 175799 168543
167716 159895 184845
165517 161551 172079
171763 174286 165330
180682 174722 171273
155518 164755 172356
165523 163582 170273
160721 171276 171519
168121 169436 159464
176467 167733 167507
162510 171617 160016
176244 170974 163298
167037 170246 156829
168698 147344 161431
168017 171280 156548
183667 165834 175989
172818 173766 169279
174477 155980 157047
175168 167641 157900
171879 165315 159613
174554 169581 170829
175862 166926 175071
159298 179662 179529
172059 155562 177040
190201 168779 158419
166577 151863 162234
173989 182512 154918
171417 147512 155110
158388 164005 177066
173522 160275 174279
165141 166037 167034
168982 171727 166169
174781 160919 189249
161175 159671 166813
164530 179364 163804
183187 166969 164515
164168 157194 164109
176434 164265 178816
167795 175059 172694
171837 159320 184207
176053 166766 167657
174853 168909 184757
168264 166603 173166
166863 166853 158041
161788 147446 148604
158431 153555 158523
176911 165242 188017
181786 169922 173677
136332 174441 170209
155142 170364 168526
175219 172817 150300
156213 171795 171673
173682 166158 172933
170605 158615 176349
176846 162064 170668
175666 176127 173321
174369 170847 156309
189105 160785 172294
168009 168818 169170
170842 156570 193751
168236 176782 164134
168553 165197 168903
188310 187615 165270
169710 178368 165563
147146 156973 162633
164628 176788 173299
163971 156249 184423
171522 174332 176082
170369 176161 178156
170055 181216 180290
165972 159155 172868
164234 157341 153610
163989 171139 156098
176133 172327 162210
168434 168981 173859
166117 165879 183287
156773 173019 179083
180922 181318 157365
166987 160698 170978
170607 176340 172589
153248 152507 143762
178673 161855 164416
171693 162981 191755
181995 165762 174239
174980 179750 166728
159860 180278 172130
167763 153588 150988
181848 170819 176609
156159 170299 161651
176357 173752 157778
176728 162351 162993
190301 166228 162121
167048 180073 162712
178014 151907 168608
167145 166179 164831
175552 163385 175981
163294 160804 187314
162832 166723 171969
179044 166988 161299
170403 174429 174082
165671 145226 160634
172889 167873 170169
167166 170490 149163
181742 144203 156122
178553 162269 164239
164230 170232 174156
171482 176135 173748
183366 179080 184987
163032 167902 158029
172038 166418 159970
159073 167052 158607
177050 172696 144539
155716 171761 172094
168171 150543 161097
170394 173520 171809
169041 152507 171481
171734 169596 164857
173630 168839 171505
167209 158079 174285
182035 170892 159360
171115 156582 181884
169722 167037 167978
157260 159778 166679
174041 161701 190590
178240 168420 164576
167941 173319 163585
170280 179043 186451
179584 174745 163977
177999 152261 163247
170638 155957 170221
166065 169223 162814
173388 163322 161285
172686 156112 169673
178964 171071 164451
163362 164639 177445
163734 153667 156466
167595 155129 176067
164087 162988 181029
160366 173122 194866
161788 167789 172783
164473 166093 160223
183202 164551 174770
173206 168666 164316
169218 170459 185892
161831 179803 173353
166386 166452 175668
161148 157459 167508
150564 166709 182460
177842 170010 165002
179706 154405 159009
160218 157656 168969
169280 157993 150884
169694 173093 178592
168435 169784 187099
171110 171547 166870
173059 163894 182127
174873 172220 157831
159608 162247 191063
169260 163083 168009
164623 165391 172066
169608 166408 172794
168004 162015 176729
189716 178015 165844
174005 161249 154634
164574 184614 191852
174075 165923 155426
164643 166135 171188
162445 161599 168110
178544 161257 174781
155361 167586 171237
172489 173355 175135
169120 166259 178106
162836 156552 176527
165949 164187 160080
170812 153679 183400
165494 168766 179400
166916 159575 163360
173182 167596 180343
163688 156929 178097
179805 166134 182139
161086 191452 162085
173475 155232 169970
162273 156268 163348
169571 156684 174472
157340 182129 169011
160931 156405 165690
160309 163160 159730
157780 165606 165178
164844 169291 166390
180708 180903 179776
183436 170242 160893
168725 169783 170482
168762 168803 186512
180767 162277 165907
168287 175174 181461
176627 162257 175713
172227 167450 174942
167025 165333 184657
164098 175249 161328
179787 153232 175493
167777 162556 174736
165815 168096 180309
175985 172146 175106
155032 167811 155587
156875 171374 172823
173041 166825 164246
169592 161545 166637
155836 161165 172880
169909 169618 174829
181805 171691 175037
160326 164603 168633
162702 173618 173041
177656 162040 172378
164534 158028 160971
180230 160774 168912
164131 146980 157434
157170 159213 166734
172694 168792 165109
162505 160903 159005
167482 148383 162752
168659 167168 167156
157957 153817 153900
160649 179160 181170
159759 159450 167216
169280 160826 183474
177879 174884 176685
151295 156153 171783
170314 166531 176110
166631 170047 155312
183707 159519 176924
180446 178831 173618
167750 157413 158144
175213 177074 162675
169731 152634 181633
155832 179337 193654
177578 158091 165294
165570 180274 160737
171045 177695 160673
162441 143624 159085
171715 171322 165717
173045 156416 179603
182114 154925 175943
173911 171318 186098
177698 156422 176094
177010 172063 172304
160518 151420 178233
169517 162707 170452
161252 158955 173223
163484 170587 171718
185056 148495 167367
177048 160671 163501
174625 161650 170721
184342 162242 176177
168849 169732 168356
169914 172753 157857
157799 172975 152423
180109 158167 173303
184842 179391 167310
171483 163481 164088
170108 180000 146434
168769 179649 181606
172204 167495 165582
183145 170997 149783
175329 155000 153965
163989 166395 169685
161164 161699 175510
164989 166362 162095
165524 165657 159824
168039 169598 165283
171767 181044 162852
171276 173156 160291
161480 179348 172287
