3381 243.55
3.14638e+06 3.28323e+06 3.16081e+06
3.2467e+06 3.11578e+06 3.19514e+06
3.24837e+06 3.22062e+06 3.09082e+06
3.11012e+06 3.20948e+06 3.18333e+06
3.18646e+06 3.13014e+06 3.27827e+06
3.2923e+06 3.19269e+06 3.10623e+06
3.24837e+06 3.22062e+06 3.09082e+06
3.11012e+06 3.20948e+06 3.18333e+06
3.13591e+06 3.18444e+06 3.25505e+06
3.16866e+06 3.25014e+06 3.14557e+06
3.18222e+06 3.23871e+06 3.14198e+06
3.18646e+06 3.13014e+06 3.27827e+06
3.2277e+06 3.19661e+06 3.10103e+06
3.19104e+06 3.14158e+06 3.25919e+06
3.18839e+06 3.1429e+06 3.23512e+06
3.14341e+06 3.2726e+06 3.16294e+06
3.18497e+06 3.26003e+06 3.14172e+06
3.15243e+06 3.15676e+06 3.22393e+06
3.20726e+06 3.1229e+06 3.20528e+06
3.21258e+06 3.13953e+06 3.20036e+06
3.11012e+06 3.20948e+06 3.18333e+06
3.14467e+06 3.18542e+06 3.21928e+06
3.16866e+06 3.25014e+06 3.14557e+06
3.2228e+06 3.1203e+06 3.15157e+06
3.2277e+06 3.19661e+06 3.10103e+06
3.21069e+06 3.18942e+06 3.11673e+06
3.20205e+06 3.16887e+06 3.14434e+06
3.14341e+06 3.2726e+06 3.16294e+06
3.12364e+06 3.18714e+06 3.17068e+06
3.15525e+06 3.153e+06 3.16612e+06
3.18794e+06 3.16563e+06 3.1502e+06
3.24663e+06 3.13854e+06 3.14302e+06
3.11012e+06 3.20948e+06 3.18333e+06
3.12049e+06 3.22125e+06 3.17138e+06
3.20726e+06 3.1229e+06 3.20528e+06
3.11012e+06 3.20948e+06 3.18333e+06
3.1886e+06 3.14399e+06 3.22764e+06
3.11012e+06 3.20948e+06 3.18333e+06
3.19297e+06 3.2329e+06 3.1436e+06
3.18497e+06 3.26003e+06 3.14172e+06
3.13591e+06 3.18444e+06 3.25505e+06
3.12049e+06 3.22125e+06 3.17138e+06
3.18281e+06 3.14452e+06 3.15948e+06
3.18818e+06 3.25194e+06 3.13152e+06
3.18818e+06 3.25194e+06 3.13152e+06
3.15525e+06 3.153e+06 3.16612e+06
3.18281e+06 3.14452e+06 3.15948e+06
3.2228e+06 3.1203e+06 3.15157e+06
3.20665e+06 3.20424e+06 3.13894e+06
3.14467e+06 3.18542e+06 3.21928e+06
3.21069e+06 3.18942e+06 3.11673e+06
3.19393e+06 3.22558e+06 3.13126e+06
3.15525e+06 3.153e+06 3.16612e+06
3.2228e+06 3.1203e+06 3.15157e+06
3.20726e+06 3.1229e+06 3.20528e+06
3.14903e+06 3.16684e+06 3.14836e+06
3.18839e+06 3.1429e+06 3.23512e+06
3.19393e+06 3.22558e+06 3.13126e+06
3.2012e+06 3.2373e+06 3.10973e+06
3.20665e+06 3.20424e+06 3.13894e+06
3.20665e+06 3.20424e+06 3.13894e+06
3.19104e+06 3.14158e+06 3.25919e+06
3.2228e+06 3.1203e+06 3.15157e+06
3.18646e+06 3.13014e+06 3.27827e+06
3.19393e+06 3.22558e+06 3.13126e+06
3.2483e+06 3.13549e+06 3.14783e+06
3.12049e+06 3.22125e+06 3.17138e+06
3.19104e+06 3.14158e+06 3.25919e+06
3.2467e+06 3.11578e+06 3.19514e+06
3.2923e+06 3.19269e+06 3.10623e+06
3.14638e+06 3.28323e+06 3.16081e+06
3.19393e+06 3.22558e+06 3.13126e+06
3.12306e+06 3.23452e+06 3.17006e+06
3.2012e+06 3.2373e+06 3.10973e+06
3.15525e+06 3.153e+06 3.16612e+06
3.21258e+06 3.13953e+06 3.20036e+06
3.20665e+06 3.20424e+06 3.13894e+06
3.20205e+06 3.16887e+06 3.14434e+06
3.1886e+06 3.14399e+06 3.22764e+06
3.24663e+06 3.13854e+06 3.14302e+06
3.21258e+06 3.13953e+06 3.20036e+06
3.21258e+06 3.13953e+06 3.20036e+06
3.12306e+06 3.23452e+06 3.17006e+06
3.20726e+06 3.1229e+06 3.20528e+06
3.19297e+06 3.2329e+06 3.1436e+06
3.21258e+06 3.13953e+06 3.20036e+06
3.20726e+06 3.1229e+06 3.20528e+06
3.15525e+06 3.153e+06 3.16612e+06
3.2277e+06 3.19661e+06 3.10103e+06
3.12364e+06 3.18714e+06 3.17068e+06
3.18794e+06 3.16563e+06 3.1502e+06
3.15525e+06 3.153e+06 3.16612e+06
3.20665e+06 3.20424e+06 3.13894e+06
3.2228e+06 3.1203e+06 3.15157e+06
3.19104e+06 3.14158e+06 3.25919e+06
3.20205e+06 3.16887e+06 3.14434e+06
3.2483e+06 3.13549e+06 3.14783e+06
3.18222e+06 3.23871e+06 3.14198e+06
3.14341e+06 3.2726e+06 3.16294e+06
3.13591e+06 3.18444e+06 3.25505e+06
3.18281e+06 3.14452e+06 3.15948e+06
3.18839e+06 3.1429e+06 3.23512e+06
3.2467e+06 3.11578e+06 3.19514e+06
3.18646e+06 3.13014e+06 3.27827e+06
3.18646e+06 3.13014e+06 3.27827e+06
3.14903e+06 3.16684e+06 3.14836e+06
3.14341e+06 3.2726e+06 3.16294e+06
3.20205e+06 3.16887e+06 3.14434e+06
3.20205e+06 3.16887e+06 3.14434e+06
3.19393e+06 3.22558e+06 3.13126e+06
3.20205e+06 3.16887e+06 3.14434e+06
3.20726e+06 3.1229e+06 3.20528e+06
3.2467e+06 3.11578e+06 3.19514e+06
3.18222e+06 3.23871e+06 3.14198e+06
3.14903e+06 3.16684e+06 3.14836e+06
3.14467e+06 3.18542e+06 3.21928e+06
3.19393e+06 3.22558e+06 3.13126e+06
3.18222e+06 3.23871e+06 3.14198e+06
3.14341e+06 3.2726e+06 3.16294e+06
3.18794e+06 3.16563e+06 3.1502e+06
3.19393e+06 3.22558e+06 3.13126e+06
3.19393e+06 3.22558e+06 3.13126e+06
3.18497e+06 3.26003e+06 3.14172e+06
3.18646e+06 3.13014e+06 3.27827e+06
3.18818e+06 3.25194e+06 3.13152e+06
3.14467e+06 3.18542e+06 3.21928e+06
3.19104e+06 3.14158e+06 3.25919e+06
3.18646e+06 3.13014e+06 3.27827e+06
3.16866e+06 3.25014e+06 3.14557e+06
3.14341e+06 3.2726e+06 3.16294e+06
3.2228e+06 3.1203e+06 3.15157e+06
3.19393e+06 3.22558e+06 3.13126e+06
3.1886e+06 3.14399e+06 3.22764e+06
3.11012e+06 3.20948e+06 3.18333e+06
3.14341e+06 3.2726e+06 3.16294e+06
3.18646e+06 3.13014e+06 3.27827e+06
3.2923e+06 3.19269e+06 3.10623e+06
3.18646e+06 3.13014e+06 3.27827e+06
3.14903e+06 3.16684e+06 3.14836e+06
3.20665e+06 3.20424e+06 3.13894e+06
3.2467e+06 3.11578e+06 3.19514e+06
3.1886e+06 3.14399e+06 3.22764e+06
3.14903e+06 3.16684e+06 3.14836e+06
3.14341e+06 3.2726e+06 3.16294e+06
3.18818e+06 3.25194e+06 3.13152e+06
3.18818e+06 3.25194e+06 3.13152e+06
3.16866e+06 3.25014e+06 3.14557e+06
3.14467e+06 3.18542e+06 3.21928e+06
3.2228e+06 3.1203e+06 3.15157e+06
3.19393e+06 3.22558e+06 3.13126e+06
3.20205e+06 3.16887e+06 3.14434e+06
3.11012e+06 3.20948e+06 3.18333e+06
3.18281e+06 3.14452e+06 3.15948e+06
3.18646e+06 3.13014e+06 3.27827e+06
3.14341e+06 3.2726e+06 3.16294e+06
3.20205e+06 3.16887e+06 3.14434e+06
3.18281e+06 3.14452e+06 3.15948e+06
3.20726e+06 3.1229e+06 3.20528e+06
3.14341e+06 3.2726e+06 3.16294e+06
3.18281e+06 3.14452e+06 3.15948e+06
3.2923e+06 3.19269e+06 3.10623e+06
3.24837e+06 3.22062e+06 3.09082e+06
3.24837e+06 3.22062e+06 3.09082e+06
3.14341e+06 3.2726e+06 3.16294e+06
3.2467e+06 3.11578e+06 3.19514e+06
3.2228e+06 3.1203e+06 3.15157e+06
3.18222e+06 3.23871e+06 3.14198e+06
3.19104e+06 3.14158e+06 3.25919e+06
3.15525e+06 3.153e+06 3.16612e+06
3.14341e+06 3.2726e+06 3.16294e+06
3.19393e+06 3.22558e+06 3.13126e+06
3.18281e+06 3.14452e+06 3.15948e+06
3.18281e+06 3.14452e+06 3.15948e+06
