62 1.12757
316312 293976 313609
324057 319443 280791
295883 325273 307498
328854 290953 312012
302594 329328 299823
324632 301589 297227
308616 335794 290278
322508 313666 289221
315224 324998 286305
301784 316852 309104
317925 326159 282119
308022 313685 304041
335741 299729 294836
318712 338057 279040
323834 305828 294427
342903 307007 282113
335455 308057 290661
336535 295468 306397
312077 312035 306924
343354 327803 272439
317082 304842 309778
320995 305584 303419
333349 314801 287215
318633 313995 297025
314991 320388 297415
312007 324584 299045
305661 315477 312412
311832 315727 302464
331640 300154 306297
297457 333042 306914
314436 327486 293578
315480 309968 312128
326786 310758 293678
316636 316177 300366
342701 295567 304534
310622 323807 301863
301618 319053 315461
321408 315734 295187
312966 334168 295878
307749 313741 311162
324847 295108 313353
321337 319888 293881
320538 309372 305510
340738 336013 279823
307467 318732 307982
334656 296700 311351
329767 318693 287748
311301 320603 302374
322136 312906 300620
320553 323737 293832
327990 301165 310890
320757 314435 296820
322020 311509 302930
323218 303547 312998
318796 309393 309590
322836 324598 287591
307740 327559 306390
317903 324981 292003
314165 331656 298699
304135 305471 325657
343354 327803 272439
344502 287588 316050
293398 343080 316290
349919 338983 317837
347854 316932 322254
337477 343022 332146
336549 335872 311860
354259 345560 314858
355359 328407 308081
372247 337178 305933
337324 323158 331383
335718 334917 342311
349407 337165 333140
333179 356391 333518
345282 324112 335727
343652 315052 324426
339316 329948 317774
339704 313871 317141
362315 344979 347471
328879 349812 337956
338047 332846 303507
344315 320472 329206
341567 342007 315879
363781 355850 320153
343235 336065 315286
340044 341460 331181
349472 323619 325930
326757 336187 312609
354507 353896 318189
350629 323035 317104
327866 343946 321993
339446 335617 310360
346970 334329 305895
334684 317939 318022
320341 333267 316169
356648 320739 299268
358486 335559 310550
357311 341918 314904
344685 333480 323467
344832 346937 318928
312916 352284 328837
364574 325276 328679
339163 360837 313792
343343 328344 320231
356116 329913 299653
362703 317783 333977
347145 339308 309973
325871 318033 330023
334339 335532 300010
341567 326261 310169
345726 312013 305245
356961 326944 324319
342691 343523 311083
325468 332162 313582
355801 333246 329774
358897 298298 308863
345734 336584 299838
341868 316385 320594
324896 335238 314910
345386 330970 330237
328140 344157 322822
325718 327575 313763
349299 336108 323328
336522 318096 296933
315679 333416 320619
317765 340713 318610
335759 323186 297862
333135 325229 316391
362217 324576 336760
342788 345155 319878
332770 321305 304099
334487 331801 322105
330185 331601 330443
330701 345038 339127
346559 336088 308553
338511 325502 315260
328057 349419 329184
351332 334924 308952
357416 331411 326273
346947 334154 317263
359063 331453 315805
335591 336300 315730
362177 347213 324602
342373 334733 317723
325786 333716 309071
340000 344325 325487
360418 332849 325436
332237 329617 335337
341791 336650 314653
322205 341827 329363
309653 358028 320429
343414 325979 320341
340540 325251 323316
359242 350777 328276
339724 344918 306818
349469 316776 316590
368030 337795 310594
336243 338951 317480
341546 333042 324002
328721 324888 319101
335071 339634 308057
335714 334949 301121
339740 321929 319291
329245 329423 330254
330085 334109 336020
351660 339139 334256
355410 319294 309119
341802 333537 315760
341523 323180 327056
351109 328084 315372
339253 328699 309540
348337 330571 301476
345705 307471 321008
346753 332014 319286
336838 324277 337287
331143 319392 329101
333599 327461 310202
338239 338043 334133
334653 333811 325765
361415 332652 328521
339760 319426 322760
329649 329597 321561
331598 317277 329441
345576 322266 313476
346799 339783 313747
350373 336306 313576
343181 330944 337509
334618 334923 299666
334744 323656 329781
333959 328374 321127
336198 339376 328377
360594 329265 313013
346059 350066 321617
353314 309079 325229
343411 337960 325776
325348 316249 326180
340608 331608 322445
374981 346709 314618
341431 316438 335459
330260 340861 323945
331705 343048 313412
331090 346329 320877
338919 318212 325716
333112 330513 291536
342451 330208 298851
351118 345753 304416
337017 331361 322033
329019 325552 309061
349587 312113 334428
347084 344516 312769
343391 343902 323536
329230 308193 329257
336048 329203 315922
340584 342218 311750
345402 323552 315622
334596 329955 337497
335983 347056 311941
344216 328815 318542
345518 341984 316751
346745 339783 307970
344418 318219 306630
333062 327105 338333
330430 338584 319049
355338 331828 310180
318494 328789 318059
313589 337911 320438
335007 332614 316969
356899 335389 319447
355816 344050 319808
333955 315270 321818
328133 331228 316417
326988 337747 304113
330687 344524 336414
350816 330581 315507
346809 325267 318683
344862 325813 318106
343293 342624 323333
343997 329507 330817
335732 328615 315204
350118 327228 299982
328847 329693 310693
344605 340989 322563
324820 328577 317004
327282 344480 328982
334393 333892 316891
354337 340232 305379
335914 355369 323136
331664 350187 318771
343275 315451 308693
319998 334187 309284
347063 340662 315523
352056 311851 316252
331140 335305 317542
342659 332248 332472
349618 307350 315827
350512 343311 308032
350903 334477 309432
340477 335506 311997
329424 345674 318148
332864 334105 330789
345608 349039 309014
327887 318659 320986
342411 357421 314839
335512 330668 311620
340790 332326 312160
352560 336770 324511
336374 343136 301729
319527 336247 311621
335698 324329 352450
335292 333927 318660
352644 320624 314738
339268 332225 334313
350367 310387 312778
350707 329748 326398
336461 323521 316747
340270 333507 313277
331719 331252 322259
355521 349508 336844
343096 326212 342793
356056 352827 342935
356270 331544 346687
334329 328937 319323
315748 323512 312183
326380 325276 313877
312839 344526 321628
342946 338712 332959
329304 328077 325662
338866 341932 312604
325222 338702 319457
329916 337844 334790
346573 340806 296956
349280 333607 315943
334387 303509 308832
335891 340924 321037
350479 336631 318250
329883 335970 316500
332029 328497 307375
347731 340272 319906
347223 344089 323799
340161 337349 316387
