10142 274.453
242307 257596 147449
151509 199926 296595
143800 239769 288473
206110 293357 154624
298049 189623 159111
276464 146659 256425
188104 269975 175322
149280 221795 294058
152051 210267 283241
143916 238907 291610
190075 272496 174381
293658 169327 171372
174498 215174 229525
195206 265414 174535
182847 251259 200028
283099 178664 164594
192436 229232 208779
268196 147455 251957
178566 262051 194407
238084 248843 151115
218862 220080 198431
151074 199988 289354
201754 227827 212359
260102 174133 186282
156395 205738 255272
181309 254576 196059
215964 281770 150776
171698 198431 232108
155000 219277 253532
156109 207933 254177
258736 165271 214403
169740 204949 239721
276830 186357 166164
145602 231541 277899
146589 226662 277195
236466 249815 149480
215044 284795 152604
247901 152005 223035
213110 242314 187094
266473 178191 179974
236782 159107 237100
193175 278579 170762
217684 217978 199090
146424 233031 276275
153732 196391 269101
202938 290896 155150
262400 174887 181592
271853 167713 185356
168599 216047 233110
295638 172831 163160
151623 198736 292858
191793 237801 202377
144658 233979 280386
190299 267823 178293
147853 226177 270157
250825 151388 238792
264322 178902 180455
179866 261362 194888
233082 162041 235312
207600 292925 154066
252773 235917 178951
205905 273654 159637
149606 222977 267846
151405 206605 284715
198186 282324 160896
150701 204048 287472
166504 191598 245129
154293 232495 257183
161398 192447 267153
163850 191685 257707
220138 259757 163136
289724 172501 173579
144041 241648 286216
199864 266899 163300
285265 181253 164006
253518 167766 210890
155211 212457 262158
216563 286891 150385
256253 173595 186436
222778 231264 188187
232236 163332 230072
148244 226052 262909
272845 175101 174221
167348 185770 248583
246550 190546 210122
249067 156583 218510
198822 246750 182408
153099 207362 271645
274164 171251 182025
261608 175433 181204
255395 147923 250270
214373 288811 151576
224305 180472 260645
157396 194371 286404
286717 184798 162786
189044 263842 182684
206991 286432 155246
185262 244152 191490
221644 240768 168876
196456 262967 169772
261499 148400 245767
150154 201784 296319
265594 174812 184879
255269 149928 240235
291415 183313 161624
230324 215672 200993
256176 149260 244594
150479 223721 265972
251548 150344 242479
185530 238220 207620
294577 165975 176219
292252 177538 163668
231370 182381 223408
212322 288059 152222
205041 283230 156001
211376 253067 172470
243604 255620 148908
205206 284586 155583
284959 189076 163541
191359 239237 204157
160190 192478 275201
194577 229736 208301
229438 247413 163516
278275 186884 164190
270824 179749 174409
205949 276583 155906
267704 164597 213459
279344 179063 165386
189538 237781 206444
224879 203654 221907
221415 228595 192411
206873 289797 154364
269912 165371 213318
186645 243429 194845
162811 194498 249284
208834 264396 158760
234187 162467 233833
159623 199287 246615
158207 201913 247549
176273 209089 228865
254092 189625 176832
253756 236781 177730
181326 188106 241334
228544 214719 206915
150864 218832 279094
261209 166530 210459
221963 180269 261833
274365 146871 259686
158397 195562 274265
162952 196087 243565
251089 224677 187782
226487 176421 251105
293134 167222 176902
282366 177207 166503
216529 220706 203589
233327 161122 234168
187915 274796 184715
242969 153507 236546
160148 193358 272824
180722 255586 198753
218427 248182 168501
245823 154652 225796
287997 182556 162477
173252 197529 238068
244887 224214 189044
164422 191039 258625
187765 197197 228295
184138 211273 226237
278467 180136 167589
249812 176408 215200
234756 160709 239463
201325 208701 222480
152536 206910 281300
225801 188797 234548
275768 182767 170485
269983 184316 172930
240666 263726 148260
200583 254846 175917
203256 283109 157002
282106 171117 177396
203361 245017 174835
208860 216010 205271
246805 153233 220427
250229 170640 215314
202602 279139 157871
236842 200882 214633
211962 242218 190805
158626 195418 265428
164937 221628 234793
177331 207725 227182
199837 287406 160487
257480 166418 211516
219868 219771 193699
209720 280156 153020
297049 170047 169552
227105 203911 219809
241716 154205 226399
246856 151918 232575
211394 230720 192811
226200 213027 215853
239064 157767 227366
215463 275760 155119
275027 183248 172003
144998 233337 278332
214092 278755 153879
146891 225738 271070
232628 200396 221053
245557 155533 225450
248366 164928 216184
152954 217390 259892
239909 194171 201381
244164 209444 189500
267167 176732 178559
183417 191287 238280
185910 201451 230603
268763 187389 176192
246275 235214 183632
223307 193115 228859
176833 197880 236593
168262 216949 234700
191430 246342 190356
220837 229652 192007
204685 260115 167750
220390 235283 179310
144179 239145 283605
279751 181711 164123
229952 243856 165232
268444 213995 176345
204177 256287 173814
163244 194109 249623
197477 261729 171184
240942 163978 223905
150149 220794 273387
150374 221397 266996
257853 167474 211280
210277 269051 157419
154424 206123 268127
244988 163791 217831
178006 211415 224867
281032 174400 168451
288887 185979 161737
170435 201041 232178
184625 242871 206867
239586 157760 228241
164439 205431 242048
202089 245670 181951
209720 280156 153020
238594 157231 240570
182497 274190 192906
241984 155927 225349
155170 206344 264649
290266 185224 162137
219795 237376 183935
144943 234782 279569
208451 287860 154855
290502 185897 160224
227578 192914 229061
164777 190769 260683
170263 225296 224581
241366 160297 221555
182871 196573 240815
248917 153552 218991
193910 263113 178418
159049 213517 245032
167739 191015 242638
236059 205952 204947
244936 158342 220715
194774 234475 195557
209870 202797 226277
244377 166440 216735
233918 208912 211923
200762 260680 166489
207698 289323 154706
197098 256681 173714
235261 162247 229785
275338 182173 173234
170404 222023 224267
287037 187341 161794
181578 203272 231352
193276 269488 168736
202279 254302 174731
211297 233234 199187
235860 250391 153978
280665 174176 172859
210612 263539 162019
186027 243036 195279
219774 234664 189897
201049 268748 163270
218817 211623 217441
151837 215581 263699
297049 170047 169552
202880 276186 161325
196471 225562 219245
159568 199353 247580
159223 194823 273145
190180 257120 180469
238603 160182 229020
203878 278742 158126
190264 253375 180362
167505 192744 244272
