41589 1800
714402 677136 720535
771436 631505 749173
747081 707502 726228
729857 653753 718669
736432 674992 768660
765710 642626 729871
732964 635054 733982
733690 685312 730954
761669 663046 710040
771926 671708 727303
742306 677120 714452
739488 689144 730199
738834 696472 724374
754315 599864 734525
732253 685982 717793
736713 679942 722445
753377 703862 729997
727294 689953 719233
735076 675661 751672
786251 638928 752484
769735 719937 718321
757249 663862 728727
763403 655378 736834
731742 664163 740780
746276 675295 747013
733956 666191 772903
763359 688857 718923
757579 632355 738510
737435 674354 740537
751477 641244 723835
739112 708555 703183
748759 639311 737526
744129 690380 729287
730507 685055 715346
736654 647614 723151
746679 673393 713373
737870 651785 745637
769075 693982 706311
744852 633878 725038
756503 670908 696363
734721 700713 720409
738820 649777 706692
740187 652095 728643
736775 692267 727207
735003 659845 743572
746247 664163 732930
742437 650622 743818
739271 686763 721458
724327 668906 715903
737995 652215 726594
739258 686073 741312
754195 624565 704365
719030 656976 736250
732188 664567 728414
752764 684932 747232
752923 633898 727917
774308 625465 727153
762937 711283 728570
753731 652468 737830
762976 704888 739099
732492 663684 733234
764647 669514 748349
736472 699136 715013
745359 697338 702608
758771 655589 749246
738312 669406 711725
757646 707779 731373
748611 686303 753776
735925 643058 753231
719793 723786 705448
746962 646142 729538
741749 699069 693507
737898 707656 687531
756165 736437 732823
754511 667689 736386
746774 686167 741037
748831 672336 741930
756876 717945 720610
729314 672371 718635
725476 693476 704327
737852 696001 707880
756875 665383 748036
746349 700498 746043
737390 703498 725439
777090 671873 719555
743865 703993 741322
751465 682253 749818
749644 714060 729840
733511 635098 736063
762683 631162 734289
760228 670901 719726
760207 653710 724844
750969 710640 725896
750084 699702 746691
724174 644605 717155
743121 655867 714974
752709 623865 724513
748190 646851 740706
729286 668919 727625
744799 656718 756675
742162 682861 729703
728422 673940 736976
743269 633500 738694
731398 690489 753699
780704 708836 727847
741270 675519 705697
750420 706183 752896
746665 706452 713892
747072 723507 711237
733956 678744 739487
754783 656097 729154
739383 640932 720512
740771 720776 715678
759587 637185 718046
771207 744436 721105
774777 659198 714988
757927 668742 746019
752692 694239 749921
751876 676738 746365
712492 695737 745733
718816 692349 735278
750724 685265 746044
752021 669217 710949
772322 697509 731719
754043 687659 724386
733573 669731 728392
756835 667200 720722
716694 674653 716998
719055 692613 720386
722620 648649 722177
704674 651883 727540
762857 716147 722124
765906 702758 729216
760142 667851 734598
749713 686924 749595
751488 688641 713289
710435 625858 749352
748613 654544 740102
743337 695011 715991
712085 690258 736650
762633 690604 718259
734975 715518 725526
771819 704158 732248
736442 687280 719619
748138 665310 750080
782116 661092 748781
747113 646027 740392
754517 654121 738213
749412 695985 744273
745117 722204 710750
768163 645953 733918
775558 690019 724793
755819 723503 754642
760059 711016 760898
741224 679028 754525
755450 716327 740113
771855 725897 729785
710168 682023 725336
756188 742073 745557
757221 680017 712454
756396 717379 724014
720614 652773 738792
745972 697457 707435
737276 680049 721297
742314 704331 710829
734696 684914 707102
751301 692575 729111
728661 676834 730858
753839 716030 760398
736778 646618 714346
737351 659653 750257
738356 650893 747752
744112 653802 739336
749779 683648 720943
768005 685866 714501
756883 650202 731710
760366 693538 745259
777379 647431 749965
757699 696070 736029
753158 717483 690891
745094 656015 743267
741985 677027 717362
757564 680054 710444
724722 721003 678893
750930 720717 711493
757267 646702 719990
758639 702335 725720
725019 730063 706181
759592 703665 709768
748383 668845 726968
711994 682552 758379
727284 675200 719532
767789 727063 733681
755575 715509 741522
755621 712140 750209
742863 626738 767656
760652 703010 737619
745542 692454 748640
767008 696109 702396
748831 647452 732855
778939 705564 697689
748836 680157 756059
740690 697817 709005
751398 698365 715030
759173 769663 717114
750469 733841 718031
729498 657751 761483
742214 665893 749568
740512 729646 741665
755964 666232 725163
724142 662916 706271
740180 705949 767906
747085 689438 689362
763341 718565 726225
765440 710040 726980
739313 653352 747274
744093 657291 746346
753761 731127 705614
703133 699034 736415
732897 639320 724834
751239 698902 725806
706914 644723 731611
756720 628677 723132
744791 631069 739600
770454 680371 733438
744306 660279 718451
751731 697840 709417
736648 669009 720433
761804 662666 774194
734023 666401 779883
733565 649837 708662
739946 696191 724177
768556 733063 705845
742179 664719 733435
762385 639784 762359
742568 633520 747600
740678 715613 700034
733071 655721 733002
749874 626713 753016
750397 706697 703394
764829 663055 741413
733471 704500 735581
758687 669694 735712
749323 659102 714811
732462 737691 715534
761118 656987 723633
750877 712556 712387
722683 671026 721423
733612 690950 744490
759851 660622 737764
743026 707646 717688
738619 686435 732974
757556 696206 732703
731085 633424 760047
728761 656772 749394
716724 674519 723886
732843 655625 765774
762445 665855 697402
775510 661009 739041
723639 671870 731307
739919 648667 728836
744627 676156 692289
749627 692033 719948
773267 668459 745291
732440 629683 728160
749104 709609 706372
718922 679533 735402
731456 665775 738765
767831 669113 713099
748701 681822 711106
757578 708958 711734
774444 666425 762301
749377 718264 693000
760461 633149 719448
739972 628712 715429
760225 722530 716836
771092 717541 730419
773305 667707 735475
726261 649477 744707
727626 637577 769280
761119 704515 724602
728899 676978 715151
735406 631802 728801
747429 662120 729236
735415 648627 716803
743987 704750 712115
752481 670440 700360
743416 644231 728680
755661 622708 707719
747704 655343 725787
738215 667360 724601
748754 676829 740866
743229 685215 740352
777034 746191 703403
773771 634336 741795
731222 651405 742226
732101 672763 717127
746664 663319 761045
780020 689768 730785
731710 683491 731169
