6162 264.771
805967 812970 729997
767856 750557 784475
785565 808523 706637
777045 789376 746762
788564 775247 748673
813756 742449 761068
793289 736399 729561
790494 780289 751355
779099 791487 731125
769401 767141 765203
797453 774061 712987
813824 767126 719301
789251 761166 733833
811937 775664 714969
756552 764844 736947
807708 753996 746935
776400 782828 734585
800071 751299 747011
774374 773985 742727
791239 728968 740061
777788 794879 737133
804777 791577 773080
784927 778608 725854
786283 780538 729128
764015 761169 712784
786245 775503 734257
782755 789802 764552
803554 787824 694633
813070 802687 733348
786947 769630 750716
816439 745915 710990
779873 782201 755930
786839 778645 742370
807316 769285 722081
778010 753400 727195
785574 787991 757698
785677 747581 723280
796228 796042 737833
736748 776161 748867
766305 761011 716094
847350 799816 680327
767988 789935 714187
766238 766706 746919
761229 766571 727389
808867 756128 728925
799167 787248 737797
792361 768804 685700
810831 771606 728360
790658 768311 706095
794518 760554 729795
805994 771102 757140
808529 734749 748668
789051 767622 695364
760132 766634 704490
786110 785204 700620
782252 759564 707342
810919 782343 784777
772657 765941 726679
790187 773709 707836
769425 758700 757937
800487 768811 732129
790235 766582 690269
782261 773850 741228
762960 728006 738453
773633 744250 722500
786740 774380 718447
772036 739178 750217
771451 749237 734182
750678 765994 754230
776675 776936 755763
802412 806201 722719
824724 802775 752629
795630 781179 716266
756470 764287 752394
795017 786028 723985
766712 770070 725044
792752 761860 739080
776418 799417 752570
843777 787183 741687
805384 781118 721315
787205 771780 737106
769588 765731 731811
780078 779490 765038
783642 760860 712394
787046 800225 724758
763355 774561 757573
791588 773362 748347
784308 766288 747945
799985 737220 723249
798241 746249 710928
816897 769605 719868
791681 755844 743915
767266 769090 733097
773571 780481 742057
797382 751579 727245
788619 766101 714437
792773 792861 782758
779410 774325 721192
788709 770284 749796
790668 770685 753589
792265 787751 714678
781097 768038 729666
812417 785325 706151
785334 780571 713915
779809 755890 774952
768485 764931 731190
771512 765285 733989
787072 752420 704977
795832 777966 726376
806921 780784 723714
793216 777709 771264
772003 802343 703591
790090 806839 780601
790002 762597 740313
762913 775352 728491
799283 789021 726378
791972 789763 770863
834489 785348 673051
801503 803614 775148
814285 756974 718054
806369 783888 718578
783101 790084 743177
756370 762481 736555
787979 823884 722087
791359 799662 738138
772679 780839 737744
783049 812459 777159
773914 792140 754676
804257 782797 721662
811916 756174 732976
767244 753042 731045
793358 796326 782458
791867 755254 742543
820356 723656 750790
812058 786944 712390
785704 764715 740962
787914 752272 743333
782942 752693 736591
810174 797242 716142
813115 751583 722347
800267 792484 714031
807966 804601 721063
774190 727866 724974
798244 771219 754659
757918 789469 698578
781284 768763 735139
769781 758745 708131
816878 773247 756478
795784 777140 727537
784989 760576 743027
772007 784149 723931
806144 759960 775370
770007 775651 710414
809845 750720 724485
811464 758997 715051
757178 783152 706743
779982 762147 720820
797944 780862 722980
799337 754502 747162
793104 792471 729893
781367 737249 720634
777251 768041 697413
766463 734663 727010
795362 754861 713226
797684 750066 702963
804944 766513 717029
798871 795002 728895
754995 773114 758641
771541 781227 721287
768897 782544 736870
792202 767939 726403
825446 782970 723965
775945 756565 764921
801577 772371 753027
783383 772399 723542
807044 757872 710622
775089 762318 758353
771226 794545 732335
813169 783870 722953
813422 777041 726097
769717 778880 758075
773677 785935 739130
786342 742070 748934
797519 757395 728792
792426 791531 726207
793381 759455 724410
779469 799648 714997
789663 800917 703062
769046 764784 744346
820029 756351 739766
773399 777213 714134
794574 736575 724487
797972 795855 698495
813850 768082 693167
787384 737605 747313
802427 755109 704949
773934 746391 716217
783829 761466 718614
787665 749226 757454
813516 769337 704359
800514 751168 746670
793365 749978 704928
791327 794955 751188
750314 754725 746744
797900 760310 736664
776926 783799 727337
786782 774456 748920
776180 770928 765746
776811 797092 732749
784471 778915 740860
803973 783943 734033
790419 753549 723431
809744 792229 721164
773742 767319 728988
786646 768860 728277
792054 784883 737542
795238 770689 768531
783286 754711 725916
780987 757805 737883
776037 778593 725542
812410 786841 701651
727805 782455 745957
810240 753317 737939
803190 778776 751695
755227 763059 723753
770585 778877 772705
786745 793852 723939
777261 782218 730023
758578 778356 732220
765723 759334 757608
790327 765142 698971
792659 741157 724969
770311 774783 754495
789137 754801 717913
804270 783092 735811
775458 777123 732361
803656 752040 681221
778428 788174 739532
782373 790575 696843
789474 760300 716865
780902 760725 748118
783239 767509 724389
796092 780263 732370
789595 772806 733454
788951 759581 723126
791678 764374 724218
793884 761499 724771
780140 750320 696347
778600 805263 724213
783410 780681 763392
770226 786811 748971
812197 787267 722327
796322 785810 718179
792904 751756 736463
771147 757771 727432
788879 781635 725007
780981 755622 719004
785354 757501 704004
772688 748527 727423
777980 756559 762058
777476 761547 734181
784210 796217 764798
781889 760166 724375
746362 771519 732913
772586 736084 727152
831407 770014 735838
776975 774489 740939
801651 788648 735222
775704 744206 724941
797924 787448 720455
785607 753203 701834
797906 766403 730798
823665 757954 732801
807935 770431 712426
778836 793987 697936
786233 781282 713693
806849 767329 711272
773664 765120 746036
757961 751393 749564
774645 793508 713772
813612 745423 737394
794022 754578 743203
788875 782479 722238
809661 785342 720595
803645 797828 736208
768826 765425 728723
807996 772143 742498
753230 779171 722234
794801 729296 722580
769576 736307 735919
762467 773105 738718
795046 790837 752783
767276 780773 765895
747157 803972 739289
773303 761700 732997
768589 782757 727583
783109 751937 733413
798500 754406 740694
807590 778913 675534
770952 754183 702330
